label	character_id	character_value
Abeomelomys sevia	1	1
Abeomelomys sevia	2	53261.73
Abeomelomys sevia	3	144.66
Abeomelomys sevia	4	Central Range sub-alpine grasslands
Abeomelomys sevia	5	127.29
Abeomelomys sevia	6	54.88
Abeomelomys sevia	7	2
Abeomelomys sevia	8	-6.84
Abeomelomys sevia	9	3
Abeomelomys sevia	10	1645.22
Abeomelomys sevia	11	Unknown
Abeomelomys sevia	12	terrestrial habitat
Abeomelomys sevia	13	above ground dwelling
Abeomelomys sevia	14	4
Abeomelomys sevia	15	0.13
Abeomelomys sevia	16	348.51
Abeomelomys sevia	17	164.32
Abeomelomys sevia	18	1679.49
Abeomelomys sevia	19	least concern
Abeomelomys sevia	20	Montane Grasslands and Shrublands
Abeomelomys sevia	21	extant
Abeomelomys sevia	22	invertebrates
Abeomelomys sevia	23	omnivore
Abeomelomys sevia	24	fish
Abeomelomys sevia	25	omnivore
Abrawayaomys ruschii	2	126137.48
Abrawayaomys ruschii	3	-42.04
Abrawayaomys ruschii	4	Neotropical
Abrawayaomys ruschii	6	62.99
Abrawayaomys ruschii	8	-15.09
Abrawayaomys ruschii	9	21.21
Abrawayaomys ruschii	10	1084.47
Abrawayaomys ruschii	11	Unknown
Abrawayaomys ruschii	12	terrestrial habitat
Abrawayaomys ruschii	15	0.06
Abrawayaomys ruschii	16	107.06
Abrawayaomys ruschii	17	209.1
Abrawayaomys ruschii	18	1402.39
Abrawayaomys ruschii	19	least concern
Abrawayaomys ruschii	20	Tropical and subtropical grasslands, savannas, and shrublands
Abrawayaomys ruschii	21	extant
Abrawayaomys ruschii	22	invertebrates
Abrawayaomys ruschii	23	omnivore
Abrawayaomys ruschii	24	fish
Abrawayaomys ruschii	26	omnivore
Abrocoma bennettii	1	4.86
Abrocoma bennettii	2	54615.98
Abrocoma bennettii	3	-70.55
Abrocoma bennettii	6	250.5
Abrocoma bennettii	7	3
Abrocoma bennettii	8	-27.71
Abrocoma bennettii	9	63.15
Abrocoma bennettii	10	213.09
Abrocoma bennettii	11	Unknown
Abrocoma bennettii	12	terrestrial habitat
Abrocoma bennettii	13	above ground dwelling
Abrocoma bennettii	15	0.07000000000000001
Abrocoma bennettii	16	20.44
Abrocoma bennettii	17	17.66
Abrocoma bennettii	18	1073.78
Abrocoma bennettii	19	least concern
Abrocoma bennettii	22	plants
Abrocoma bennettii	23	herbivore
Abrocoma bennettii	27	nocturnal
Abrocoma bennettii	28	143.85
Abrocoma bennettii	29	27.6
Abrocoma bennettii	30	2
Abrocoma bennettii	31	265.5
Abrocoma budini	11	Unknown
Abrocoma budini	12	terrestrial habitat
Abrocoma budini	19	data deficient
Abrocoma budini	22	plants
Abrocoma budini	23	herbivore
Abrocoma budini	32	herbivore
Abrocoma cinerea	1	2.19
Abrocoma cinerea	2	381391.02
Abrocoma cinerea	3	-67.43000000000001
Abrocoma cinerea	4	Neotropical
Abrocoma cinerea	6	193.64
Abrocoma cinerea	7	3
Abrocoma cinerea	8	-14.43
Abrocoma cinerea	9	13.72
Abrocoma cinerea	10	515.1
Abrocoma cinerea	11	Stable
Abrocoma cinerea	12	terrestrial habitat
Abrocoma cinerea	13	above ground dwelling
Abrocoma cinerea	15	0.06
Abrocoma cinerea	16	48.46
Abrocoma cinerea	17	35.22
Abrocoma cinerea	18	1257.35
Abrocoma cinerea	19	least concern
Abrocoma cinerea	20	Deserts and Xeric Shrublands
Abrocoma cinerea	21	extant
Abrocoma cinerea	22	plants
Abrocoma cinerea	23	herbivore
Abrocoma cinerea	33	109.49
Abrocoma cinerea	34	No Paternal Care
Abrocoma cinerea	35	Social Group Living
Abrocoma cinerea	36	Not Monogamous
Abrocoma cinerea	37	herbivore
Abrocoma shistacea	11	Unknown
Abrocoma shistacea	12	terrestrial habitat
Abrocoma shistacea	19	data deficient
Abrocoma shistacea	22	plants
Abrocoma shistacea	23	herbivore
Abrocoma shistacea	38	herbivore
Abrocoma uspallata	11	Unknown
Abrocoma uspallata	12	terrestrial habitat
Abrocoma uspallata	19	data deficient
Abrocoma uspallata	22	plants
Abrocoma uspallata	23	herbivore
Abrocoma uspallata	39	herbivore
Abrocoma vaccarum	11	Unknown
Abrocoma vaccarum	12	terrestrial habitat
Abrocoma vaccarum	19	data deficient
Abrocoma vaccarum	22	leaves of woody plants
Abrocoma vaccarum	23	herbivore
Abrocoma vaccarum	34	No Paternal Care
Abrocoma vaccarum	35	No Social Group Living
Abrocoma vaccarum	36	Not Monogamous
Abrocoma vaccarum	40	herbivore
Abrothrix jelskii	2	506394.71
Abrothrix jelskii	3	-68.91
Abrothrix jelskii	4	Neotropical
Abrothrix jelskii	6	34.5
Abrothrix jelskii	7	1
Abrothrix jelskii	8	-12.23
Abrothrix jelskii	9	14.37
Abrothrix jelskii	10	704.46
Abrothrix jelskii	11	Stable
Abrothrix jelskii	12	terrestrial habitat
Abrothrix jelskii	13	fossorial and/or ground dwelling only
Abrothrix jelskii	15	0.06
Abrothrix jelskii	16	76.81
Abrothrix jelskii	17	68.22
Abrothrix jelskii	18	1304.63
Abrothrix jelskii	19	least concern
Abrothrix jelskii	20	Tropical and Subtropical Moist Broadleaf Forests
Abrothrix jelskii	21	extant
Abrothrix jelskii	22	invertebrates
Abrothrix jelskii	23	omnivore
Abrothrix jelskii	24	leaves
Abrothrix jelskii	27	nocturnal/crepuscular, cathemeral, crepuscular or diurnal/crepuscular
Abrothrix jelskii	41	3
Abrothrix jelskii	42	National Museum of Natural History, Smithsonian Institution (USNM)
Abrothrix jelskii	43	omnivore
Abrothrix longipilis	1	3.7
Abrothrix longipilis	2	423823.71
Abrothrix longipilis	3	-71.19
Abrothrix longipilis	4	Neotropical
Abrothrix longipilis	6	38.86
Abrothrix longipilis	7	3
Abrothrix longipilis	8	-30.29
Abrothrix longipilis	9	32.79
Abrothrix longipilis	10	454.6
Abrothrix longipilis	11	Decreasing
Abrothrix longipilis	12	terrestrial habitat
Abrothrix longipilis	13	above ground dwelling
Abrothrix longipilis	15	0.1
Abrothrix longipilis	16	64.15000000000001
Abrothrix longipilis	17	64.48
Abrothrix longipilis	18	677.15
Abrothrix longipilis	19	least concern
Abrothrix longipilis	20	Temperate Grasslands, Savannas, and Shrublands
Abrothrix longipilis	21	extant
Abrothrix longipilis	22	invertebrates
Abrothrix longipilis	23	omnivore
Abrothrix longipilis	24	seed
Abrothrix longipilis	27	nocturnal/crepuscular, cathemeral, crepuscular or diurnal/crepuscular
Abrothrix longipilis	28	2777.2
