Stephanorhinus hemitoechus	first appearance (million years ago)	2.588
Stephanorhinus hemitoechus	last appearance (million years ago)	0.0117
Stephanorhinus hemitoechus	ecomorphological guild	fossorial and/or ground dwelling only
Stephanorhinus hemitoechus	first appearance	Pleistocene Epoch
Stephanorhinus hemitoechus	skeletal tissue composition	hydroxylapatite
Stephanorhinus hemitoechus	extinction status	extinct
Stephanorhinus hemitoechus	motility	actively mobile
Stephanorhinus hemitoechus	trophic guild	browser
Stephanorhinus hemitoechus	habitat includes	terrestrial habitat
Stephanorhinus hemitoechus	geographic distribution includes	Croatia
Stephanorhinus hemitoechus	geographic distribution includes	Germany
Stephanorhinus hemitoechus	geographic distribution includes	United Kingdom
Moropus senex	skeletal tissue composition	hydroxylapatite
Moropus senex	habitat includes	terrestrial habitat
Moropus senex	trophic guild	browser
Moropus senex	motility	actively mobile
Moropus senex	ecomorphological guild	fossorial and/or ground dwelling only
Moropus senex	extinction status	extinct
Equus africanus somaliensis	trophic guild	grazer
Equus africanus somaliensis	ecomorphological guild	fossorial and/or ground dwelling only
Equus africanus somaliensis	skeletal tissue composition	hydroxylapatite
Equus africanus somaliensis	motility	actively mobile
Equus africanus somaliensis	habitat includes	terrestrial habitat
Equus africanus somaliensis	extinction status	extant
Mesohippus propinquus	first appearance (million years ago)	37.2
Mesohippus propinquus	last appearance (million years ago)	33.9
Mesohippus propinquus	first appearance	Priabonian Age
Mesohippus propinquus	trophic guild	browser
Mesohippus propinquus	ecomorphological guild	fossorial and/or ground dwelling only
Mesohippus propinquus	extinction status	extinct
Mesohippus propinquus	skeletal tissue composition	hydroxylapatite
Mesohippus propinquus	motility	actively mobile
Mesohippus propinquus	habitat includes	terrestrial habitat
Mesohippus propinquus	geographic distribution includes	Canada
Equus mexicanus	first appearance (million years ago)	0.126
Equus mexicanus	last appearance (million years ago)	0.0117
Equus mexicanus	first appearance (million years ago)	1.8
Equus mexicanus	last appearance (million years ago)	0.3
Equus mexicanus	motility	actively mobile
Equus mexicanus	extinction status	extinct
Equus mexicanus	skeletal tissue composition	hydroxylapatite
Equus mexicanus	first appearance	Upper Pleistocene Age
Equus mexicanus	trophic guild	grazer
Equus mexicanus	habitat includes	terrestrial habitat
Equus mexicanus	ecomorphological guild	fossorial and/or ground dwelling only
Equus mexicanus	last appearance	Middle Pleistocene Age
Equus mexicanus	first appearance	Calabrian Age
Equus mexicanus	geographic distribution includes	Mexico
Eggysodon osborni	last appearance (million years ago)	23.03
Eggysodon osborni	first appearance (million years ago)	33.9
Eggysodon osborni	ecomorphological guild	fossorial and/or ground dwelling only
Eggysodon osborni	trophic guild	browser
Eggysodon osborni	first appearance	Oligocene Epoch
Eggysodon osborni	skeletal tissue composition	hydroxylapatite
Eggysodon osborni	habitat includes	terrestrial habitat
Eggysodon osborni	extinction status	extinct
Eggysodon osborni	motility	actively mobile
Protapirus obliquidens	last appearance (million years ago)	30.8
Protapirus obliquidens	first appearance (million years ago)	33.3
Protapirus obliquidens	extinction status	extinct
Protapirus obliquidens	ecomorphological guild	fossorial and/or ground dwelling only
Protapirus obliquidens	skeletal tissue composition	hydroxylapatite
Protapirus obliquidens	trophic guild	browser
Protapirus obliquidens	habitat includes	terrestrial habitat
Protapirus obliquidens	motility	actively mobile
Protapirus obliquidens	first appearance	Rupelian Age
Protapirus obliquidens	geographic distribution includes	United States
Hyrachyus eximius	first appearance (million years ago)	50.3
Hyrachyus eximius	last appearance (million years ago)	40.4
Hyrachyus eximius	motility	actively mobile
Hyrachyus eximius	skeletal tissue composition	hydroxylapatite
Hyrachyus eximius	extinction status	extinct
Hyrachyus eximius	trophic guild	browser
Hyrachyus eximius	habitat includes	terrestrial habitat
Hyrachyus eximius	ecomorphological guild	fossorial and/or ground dwelling only
Hyrachyus eximius	last appearance	Bartonian Age
Hyrachyus eximius	first appearance	Ypresian Age
Hyrachyus eximius	geographic distribution includes	United States
Metatitan khaitshinus	skeletal tissue composition	hydroxylapatite
Metatitan khaitshinus	ecomorphological guild	fossorial and/or ground dwelling only
Metatitan khaitshinus	extinction status	extinct
Metatitan khaitshinus	motility	actively mobile
Metatitan khaitshinus	trophic guild	browser
Metatitan khaitshinus	habitat includes	terrestrial habitat
Protohippus lenticularis	first appearance (million years ago)	23.03
Protohippus lenticularis	last appearance (million years ago)	4.9
Protohippus lenticularis	last appearance	Zanclean Age
Protohippus lenticularis	extinction status	extinct
Protohippus lenticularis	habitat includes	terrestrial habitat
Protohippus lenticularis	motility	actively mobile
Protohippus lenticularis	first appearance	Miocene Epoch
Protohippus lenticularis	trophic guild	browser
Protohippus lenticularis	skeletal tissue composition	hydroxylapatite
Protohippus lenticularis	trophic guild	grazer
Hypohippus pertinax	first appearance (million years ago)	20.43
Hypohippus pertinax	last appearance (million years ago)	13.6
Hypohippus pertinax	last appearance	Serravallian Age
Hypohippus pertinax	habitat includes	terrestrial habitat
Hypohippus pertinax	skeletal tissue composition	hydroxylapatite
Hypohippus pertinax	motility	actively mobile
Hypohippus pertinax	extinction status	extinct
Hypohippus pertinax	first appearance	Burdigalian Age
Hypohippus pertinax	trophic guild	browser
Hypohippus pertinax	ecomorphological guild	fossorial and/or ground dwelling only
Hypohippus pertinax	geographic distribution includes	United States
Plagiolophus annectens	first appearance (million years ago)	41.3
Plagiolophus annectens	last appearance (million years ago)	33.9
Plagiolophus annectens	skeletal tissue composition	hydroxylapatite
Plagiolophus annectens	habitat includes	terrestrial habitat
Plagiolophus annectens	motility	actively mobile
Plagiolophus annectens	last appearance	Priabonian Age
Plagiolophus annectens	trophic guild	frugivore
Plagiolophus annectens	extinction status	extinct
Plagiolophus annectens	trophic guild	folivore
Plagiolophus annectens	first appearance	Bartonian Age
Plagiolophus annectens	ecomorphological guild	fossorial and/or ground dwelling only
Plagiolophus annectens	geographic distribution includes	France
Plagiolophus annectens	geographic distribution includes	United Kingdom
Desmatippus crenidens	habitat includes	terrestrial habitat
Desmatippus crenidens	trophic guild	browser
Desmatippus crenidens	motility	actively mobile
Desmatippus crenidens	skeletal tissue composition	hydroxylapatite
Desmatippus crenidens	ecomorphological guild	fossorial and/or ground dwelling only
Desmatippus crenidens	extinction status	extinct
Hispanotherium tungurense	motility	actively mobile
Hispanotherium tungurense	extinction status	extinct
Hispanotherium tungurense	trophic guild	browser
Hispanotherium tungurense	skeletal tissue composition	hydroxylapatite
Hispanotherium tungurense	ecomorphological guild	fossorial and/or ground dwelling only
Hispanotherium tungurense	habitat includes	terrestrial habitat
Ceratotherium mauritanicum	first appearance (million years ago)	3.6
Ceratotherium mauritanicum	last appearance (million years ago)	0.781
Ceratotherium mauritanicum	motility	actively mobile
Ceratotherium mauritanicum	first appearance	Piacenzian Age
Ceratotherium mauritanicum	ecomorphological guild	fossorial and/or ground dwelling only
Ceratotherium mauritanicum	skeletal tissue composition	hydroxylapatite
Ceratotherium mauritanicum	trophic guild	grazer
Ceratotherium mauritanicum	habitat includes	terrestrial habitat
Ceratotherium mauritanicum	extinction status	extinct
Ceratotherium mauritanicum	last appearance	Calabrian Age
Ceratotherium mauritanicum	geographic distribution includes	Algeria
Ceratotherium mauritanicum	geographic distribution includes	Morocco
Ceratotherium mauritanicum	geographic distribution includes	North Atlantic
Protohippus tantalus	last appearance (million years ago)	10.3
Protohippus tantalus	first appearance (million years ago)	13.6
Protohippus tantalus	first appearance	Serravallian Age
Protohippus tantalus	last appearance	Tortonian Age
Protohippus tantalus	extinction status	extinct
Protohippus tantalus	ecomorphological guild	fossorial and/or ground dwelling only
Protohippus tantalus	trophic guild	grazer
Protohippus tantalus	trophic guild	browser
Protohippus tantalus	motility	actively mobile
Protohippus tantalus	habitat includes	terrestrial habitat
Protohippus tantalus	skeletal tissue composition	hydroxylapatite
Equus idahoensis	first appearance (million years ago)	4.9
Equus idahoensis	last appearance (million years ago)	0.3
Equus idahoensis	ecomorphological guild	fossorial and/or ground dwelling only
Equus idahoensis	motility	actively mobile
Equus idahoensis	last appearance	Middle Pleistocene Age
Equus idahoensis	habitat includes	terrestrial habitat
Equus idahoensis	first appearance	Pliocene Epoch
Equus idahoensis	skeletal tissue composition	hydroxylapatite
Equus idahoensis	trophic guild	grazer
Equus idahoensis	extinction status	extinct
Plagiolophus fraasi	first appearance (million years ago)	33.9
Plagiolophus fraasi	last appearance (million years ago)	28.4
Plagiolophus fraasi	extinction status	extinct
Plagiolophus fraasi	skeletal tissue composition	hydroxylapatite
Plagiolophus fraasi	first appearance	Rupelian Age
Plagiolophus fraasi	motility	actively mobile
Plagiolophus fraasi	trophic guild	folivore
Plagiolophus fraasi	habitat includes	terrestrial habitat
Plagiolophus fraasi	ecomorphological guild	fossorial and/or ground dwelling only
Plagiolophus fraasi	trophic guild	frugivore
