tsn	tsn_accepted
4835855	
4834092	
4826470	
4832930	
4826640	
4826347	
4826632	
4834394	
4826644	
4834112	
4826986	
4825825	
4832763	
9517974	
4832250	
4829759	
3240765	
4832995	
4826451	
3240712	
4830835	
4833013	
4832948	
4574553	
8599366	
4826969	
4831259	
4825665	
4829773	
4830780	
4826621	
4830222	
4829724	
4832774	
4834674	
4830701	
4834672	
4829676	
4832258	
4825572	
9304290	
4826550	
4825375	
4825382	
8446251	
4826545	
4831752	
4834281	
4825821	
4829782	
4829650	
4825435	
3239388	
4830056	
3239874	
3239984	
4830208	
4831476	
4835884	
4826988	
4825409	
4832963	
4831504	
4826438	
4826934	
4825357	
4826510	
4830785	
4826701	
4571804	
4830209	
4832769	
4829869	
4826465	
4826340	
4831255	
4826935	
4832695	
4829694	
4826443	
4826514	
4825556	
4826944	
4832751	
8667046	
4829703	
3240302	
4829728	
4825387	
4832873	
6759333	
4834234	
4832868	
4832876	
9524010	
4832923	
4826706	
4831482	
4830080	
4825406	
4834285	
4825373	
4832259	
3239981	
4830860	
4832922	
4832980	
4830776	
4830269	
4834046	
4835902	
4830238	
4825675	
4834162	4834161
4835742	4835741
3240433	9394758
4835607	9394758
7529179	9394758
4834801	4834800
4829097	4829096
3239996	2434325
3239997	2434325
7848770	2434325
4833451	2434325
4833447	2434325
9558358	2434325
4833450	2434325
7969932	2434325
4833448	2434325
4833445	2434583
7009347	2434583
4833446	2434325
4833449	2434325
5220084	7194025
2440739	7194025
2440738	7194025
4827774	
4826549	
4831751	
4826543	
4829627	
4829628	
3239491	
7348632	
4835900	
4835859	
4829747	
3240462	
4826636	
4825414	
4825671	
4825376	
4826917	
4826516	
4574446	
4832967	
4834355	
3239824	
4831493	
4829772	
4825509	
4830760	
4831254	
4835858	
4834659	
4834087	
4831231	
4830822	
4834379	
4825461	
4829654	
4832776	
3240509	
4835870	
4830060	
4826605	
4832998	
4834658	
8702118	
4826614	
4826345	
4825415	
4831262	
4832241	
8388827	
9476489	
4832765	
4835919	
4830769	
4830867	
4826968	
4832761	
4834568	
4825337	
4829698	
4831245	
3239807	
4825578	
4833015	
4831250	
4834096	
4826547	
4830702	
4830235	
4833042	
4832889	
4575080	
4574148	
4832867	
3239831	
4830263	
2436844	6164820
5787544	4266385
4825581	
4825356	
4826370	
