taxon_id	taxon_name	tree_name
81	Rhynchomeles prattorum	mammalST_bestDates.dnd
82	Perameles bougainville	mammalST_bestDates.dnd
83	Chironectes minimus	mammalST_bestDates.dnd
84	Lestodelphys halli	mammalST_bestDates.dnd
85	Micoureus alstoni	mammalST_bestDates.dnd
86	Micoureus constantiae	mammalST_bestDates.dnd
87	Micoureus demerarae	mammalST_bestDates.dnd
88	Micoureus regina	mammalST_bestDates.dnd
89	Ochotona pusilla	mammalST_bestDates.dnd
90	Cynocephalus variegatus	mammalST_bestDates.dnd
91	Cynocephalus volans	mammalST_bestDates.dnd
92	Euphractus sexcinctus	mammalST_bestDates.dnd
93	Zaedyus pichiy	mammalST_bestDates.dnd
94	Chaetophractus nationi	mammalST_bestDates.dnd
95	Chaetophractus vellerosus	mammalST_bestDates.dnd
96	Chaetophractus villosus	mammalST_bestDates.dnd
97	Chrysospalax trevelyani	mammalST_bestDates.dnd
98	Chrysospalax villosus	mammalST_bestDates.dnd
99	Chrysochloris asiatica	mammalST_bestDates.dnd
100	Chrysochloris stuhlmanni	mammalST_bestDates.dnd
101	Chrysochloris visagiei	mammalST_bestDates.dnd
102	Chlorotalpa sclateri	mammalST_bestDates.dnd
103	Chlorotalpa duthieae	mammalST_bestDates.dnd
104	Chlorotalpa arendsi	mammalST_bestDates.dnd
105	Chlorotalpa leucorhina	mammalST_bestDates.dnd
106	Chlorotalpa tytonis	mammalST_bestDates.dnd
107	Potamogale velox	mammalST_bestDates.dnd
108	Hemicentetes semispinosus	mammalST_bestDates.dnd
109	Tenrec ecaudatus	mammalST_bestDates.dnd
110	Macroscelides proboscideus	mammalST_bestDates.dnd
111	Trichechus manatus	mammalST_bestDates.dnd
112	Trichechus senegalensis	mammalST_bestDates.dnd
113	Dendrohyrax arboreus	mammalST_bestDates.dnd
114	Dendrohyrax dorsalis	mammalST_bestDates.dnd
115	Dendrohyrax validus	mammalST_bestDates.dnd
116	Heterohyrax antineae	mammalST_bestDates.dnd
117	Heterohyrax brucei	mammalST_bestDates.dnd
118	Phascolarctos cinereus	mammalST_bestDates.dnd
119	Echymipera clara	mammalST_bestDates.dnd
120	Echymipera davidi	mammalST_bestDates.dnd
121	Echymipera echinista	mammalST_bestDates.dnd
122	Echymipera kalubu	mammalST_bestDates.dnd
123	Echymipera rufescens	mammalST_bestDates.dnd
124	Peroryctes broadbenti	mammalST_bestDates.dnd
125	Peroryctes raffrayana	mammalST_bestDates.dnd
126	Isoodon macrourus	mammalST_bestDates.dnd
127	Perameles gunnii	mammalST_bestDates.dnd
128	Perameles nasuta	mammalST_bestDates.dnd
129	Lutreolina crassicaudata	mammalST_bestDates.dnd
130	Gracilinanus dryas	mammalST_bestDates.dnd
131	Marmosops cracens	mammalST_bestDates.dnd
132	Marmosops dorothea	mammalST_bestDates.dnd
133	Marmosops handleyi	mammalST_bestDates.dnd
134	Marmosops impavidus	mammalST_bestDates.dnd
135	Marmosops incanus	mammalST_bestDates.dnd
136	Marmosops invictus	mammalST_bestDates.dnd
137	Marmosops noctivagus	mammalST_bestDates.dnd
138	Aplodontia rufa	mammalST_bestDates.dnd
139	Romerolagus diazi	mammalST_bestDates.dnd
140	Pentalagus furnessi	mammalST_bestDates.dnd
141	Anathana ellioti	mammalST_bestDates.dnd
142	Urogale everetti	mammalST_bestDates.dnd
143	Myzopoda aurita	mammalST_bestDates.dnd
144	Uropsilus andersoni	mammalST_bestDates.dnd
145	Uropsilus gracilis	mammalST_bestDates.dnd
146	Uropsilus investigator	mammalST_bestDates.dnd
147	Uropsilus soricipes	mammalST_bestDates.dnd
148	Tolypeutes matacus	mammalST_bestDates.dnd
149	Tolypeutes tricinctus	mammalST_bestDates.dnd
150	Cabassous centralis	mammalST_bestDates.dnd
151	Cabassous chacoensis	mammalST_bestDates.dnd
152	Cabassous tatouay	mammalST_bestDates.dnd
153	Cabassous unicinctus	mammalST_bestDates.dnd
154	Amblysomus hottentotus	mammalST_bestDates.dnd
155	Amblysomus iris	mammalST_bestDates.dnd
156	Amblysomus gunningi	mammalST_bestDates.dnd
157	Amblysomus julianae	mammalST_bestDates.dnd
158	Oryzorictes tetradactylus	mammalST_bestDates.dnd
159	Oryzorictes hova	mammalST_bestDates.dnd
160	Oryzorictes talpoides	mammalST_bestDates.dnd
161	Microgale dobsoni	mammalST_bestDates.dnd
162	Microgale brevicaudata	mammalST_bestDates.dnd
163	Microgale cowani	mammalST_bestDates.dnd
164	Microgale dryas	mammalST_bestDates.dnd
165	Microgale gracilis	mammalST_bestDates.dnd
166	Microgale longicaudata	mammalST_bestDates.dnd
167	Microgale parvula	mammalST_bestDates.dnd
168	Microgale principula	mammalST_bestDates.dnd
169	Microgale pulla	mammalST_bestDates.dnd
170	Microgale pusilla	mammalST_bestDates.dnd
171	Microgale talazaci	mammalST_bestDates.dnd
172	Microgale thomasi	mammalST_bestDates.dnd
173	Micropotamogale lamottei	mammalST_bestDates.dnd
174	Micropotamogale ruwenzorii	mammalST_bestDates.dnd
175	Setifer setosus	mammalST_bestDates.dnd
176	Echinops telfairi	mammalST_bestDates.dnd
177	Elephantulus rozeti	mammalST_bestDates.dnd
178	Hypsiprymnodon moschatus	mammalST_bestDates.dnd
179	Vombatus ursinus	mammalST_bestDates.dnd
180	Isoodon auratus	mammalST_bestDates.dnd
181	Isoodon obesulus	mammalST_bestDates.dnd
182	Gracilinanus aceramarcae	mammalST_bestDates.dnd
183	Gracilinanus emiliae	mammalST_bestDates.dnd
184	Gracilinanus marica	mammalST_bestDates.dnd
185	Marmosops fuscatus	mammalST_bestDates.dnd
186	Marmosops parvidens	mammalST_bestDates.dnd
187	Thylamys elegans	mammalST_bestDates.dnd
188	Thylamys pallidior	mammalST_bestDates.dnd
189	Thylamys macrura	mammalST_bestDates.dnd
190	Thylamys pusilla	mammalST_bestDates.dnd
191	Sciurillus pusillus	mammalST_bestDates.dnd
192	Muscardinus avellanarius	mammalST_bestDates.dnd
193	Bunolagus monticularis	mammalST_bestDates.dnd
194	Pronolagus randensis	mammalST_bestDates.dnd
195	Tarsius bancanus	mammalST_bestDates.dnd
