pantheria_tax_id	pantheria_tax_label
128	Avahi occidentalis
129	Avahi unicolor
130	Axis axis
131	Axis calamianensis
132	Axis kuhlii
133	Axis porcinus
134	Babyrousa babyrussa
135	Babyrousa bolabatuensis
136	Babyrousa celebensis
137	Balaenoptera musculus
138	Balaenoptera physalus
139	Balantiopteryx infusca
140	Balantiopteryx io
141	Balantiopteryx plicata
142	Balionycteris maculata
143	Bandicota bengalensis
144	Bandicota indica
145	Cephalophus niger
146	Cephalophus nigrifrons
147	Cephalophus ogilbyi
148	Cephalophus rufilatus
149	Cephalophus silvicultor
150	Cephalophus spadix
151	Cephalophus weynsi
152	Cephalophus zebra
153	Cephalorhynchus commersonii
154	Cephalorhynchus eutropia
155	Cephalorhynchus heavisidii
156	Cephalorhynchus hectori
157	Ceratotherium simum
158	Cercartetus caudatus
159	Cercartetus concinnus
160	Cercartetus lepidus
161	Cercartetus nanus
162	Cercocebus agilis
163	Cercocebus atys
164	Cercocebus chrysogaster
165	Cercocebus galeritus
166	Cercocebus sanjei
167	Cercocebus torquatus
168	Cercopithecus albogularis
169	Cercopithecus ascanius
170	Cercopithecus campbelli
171	Cercopithecus cephus
172	Cercopithecus denti
173	Cercopithecus diana
174	Cercopithecus doggetti
175	Cercopithecus dryas
176	Cercopithecus erythrogaster
177	Cercopithecus erythrotis
178	Cercopithecus hamlyni
179	Cercopithecus kandti
180	Cercopithecus lhoesti
181	Cercopithecus lowei
182	Cercopithecus mitis
183	Cercopithecus mona
184	Cercopithecus neglectus
185	Cercopithecus nictitans
186	Cercopithecus petaurista
187	Cercopithecus pogonias
188	Cercopithecus preussi
189	Cercopithecus roloway
190	Cercopithecus sclateri
191	Cercopithecus solatus
192	Cercopithecus wolfi
193	Cerdocyon thous
194	Cervus elaphus
195	Cervus nippon
196	Chaerephon aloysiisabaudiae
197	Chaerephon ansorgei
198	Chaerephon bemmeleni
199	Chaerephon bivittatus
200	Chaerephon bregullae
201	Chaerephon chapini
202	Chaerephon gallagheri
203	Chaerephon jobensis
204	Chaerephon johorensis
205	Chaerephon leucogaster
206	Chaerephon major
207	Chaerephon nigeriae
208	Chaerephon plicatus
209	Chaerephon pumilus
210	Chaerephon russatus
211	Chaerephon shortridgei
212	Chaerephon solomonis
213	Chaerephon tomensis
214	Chaeropus ecaudatus
215	Chaetocauda sichuanensis
216	Chaetodipus arenarius
217	Chaetodipus artus
218	Chaetodipus baileyi
219	Chaetodipus californicus
220	Chaetodipus dalquesti
221	Chaetodipus eremicus
222	Chaetodipus fallax
223	Chaetodipus formosus
224	Chaetodipus goldmani
225	Chaetodipus hispidus
226	Chaetodipus intermedius
227	Chaetodipus lineatus
228	Chaetodipus nelsoni
229	Chaetodipus penicillatus
230	Chaetodipus pernix
231	Chaetodipus rudinoris
232	Chaetodipus spinatus
233	Cricetulus barabensis
234	Cricetulus kamensis
235	Cricetulus longicaudatus
236	Cricetulus migratorius
237	Cricetulus sokolovi
238	Cricetus cricetus
239	Crocidura aleksandrisi
240	Crocidura allex
241	Crocidura andamanensis
242	Crocidura ansellorum
243	Crocidura arabica
244	Crocidura arispa
245	Crocidura armenica
246	Crocidura attenuata
247	Crocidura attila
248	Crocidura baileyi
249	Crocidura baluensis
250	Crocidura batesi
251	Crocidura beatus
252	Crocidura beccarii
253	Crocidura bottegi
254	Crocidura bottegoides
255	Crocidura brunnea
256	Crocidura buettikoferi
257	Crocidura caliginea
258	Crocidura canariensis
259	Crocidura caspica
260	Crocidura cinderella
261	Crocidura congobelgica
262	Crocidura crenata
263	Crocidura crossei
264	Crocidura cyanea
265	Crocidura denti
266	Crocidura desperata
267	Crocidura dhofarensis
268	Crocidura dolichura
269	Crocidura douceti
270	Crocidura dsinezumi
271	Crocidura eisentrauti
272	Crocidura elgonius
273	Crocidura elongata
274	Crocidura erica
275	Crocidura fischeri
276	Crocidura flavescens
277	Crocidura floweri
278	Crocidura foetida
279	Crocidura foxi
280	Crocidura fuliginosa
281	Crocidura fulvastra
282	Crocidura fumosa
283	Crocidura fuscomurina
284	Crocidura glassi
285	Crocidura gmelini
286	Crocidura goliath
287	Crocidura gracilipes
288	Crocidura grandiceps
289	Crocidura grandis
290	Crocidura grassei
291	Crocidura grayi
292	Crocidura greenwoodi
293	Crocidura harenna
294	Crocidura hildegardeae
295	Crocidura hilliana
296	Crocidura hirta
297	Crocidura hispida
298	Crocidura orii
299	Crocidura palawanensis
300	Crocidura paradoxura
301	Crocidura parvipes
302	Crocidura pasha
303	Crocidura pergrisea
304	Crocidura phaeura
305	Crocidura picea
306	Crocidura pitmani
307	Crocidura planiceps
308	Crocidura poensis
309	Crocidura polia
310	Crocidura pullata
311	Crocidura raineyi
312	Crocidura ramona
313	Crocidura rapax
314	Crocidura religiosa
315	Crocidura rhoditis
316	Crocidura roosevelti
317	Crocidura russula
318	Crocidura selina
319	Crocidura serezkyensis
320	Crocidura shantungensis
321	Crocidura sibirica
322	Crocidura sicula
323	Crocidura silacea
324	Crocidura smithii
325	Crocidura somalica
326	Crocidura stenocephala
327	Crocidura suaveolens
328	Crocidura susiana
329	Eptesicus kobayashii
330	Eptesicus matroka
331	Eptesicus nasutus
332	Eptesicus nilssonii
333	Eptesicus pachyotis
334	Equus kiang
335	Equus quagga
336	Equus zebra
337	Eremitalpa granti
338	Eremodipus lichtensteini
339	Erethizon dorsatum
340	Erignathus barbatus
341	Erinaceus amurensis
342	Erinaceus concolor
343	Erinaceus europaeus
344	Erinaceus roumanicus
345	Eropeplus canus
346	Erophylla bombifrons
347	Erophylla sezekorni
348	Erythrocebus patas
349	Eptesicus platyops
350	Eptesicus serotinus
351	Eptesicus tatei
352	Equus asinus
353	Equus burchellii
354	Equus caballus
355	Equus grevyi
356	Equus hemionus
357	Genetta bourloni
358	Genetta cristata
359	Genetta genetta
360	Genetta johnstoni
361	Genetta maculata
362	Genetta pardina
363	Genetta piscivora
364	Genetta poensis
365	Delomys collinus
366	Delomys dorsalis
367	Delomys sublineatus
368	Delphinapterus leucas
369	Delphinus capensis
370	Delphinus delphis
371	Deltamys kempi
372	Dendrogale melanura
373	Dendrogale murina
374	Dendrohyrax arboreus
375	Dendrohyrax dorsalis
376	Dendrolagus bennettianus
377	Dendrolagus dorianus
378	Dendrolagus goodfellowi
379	Bibimys torresi
380	Bison bison
381	Bison bonasus
382	Biswamoyopterus biswasi
383	Blanfordimys afghanus
384	Blanfordimys bucharensis
385	Blarina brevicauda
386	Blarina carolinensis
387	Blarina hylophaga
388	Blarina peninsulae
389	Babyrousa togeanensis
390	Baiomys musculus
391	Baiomys taylori
392	Balaena mysticetus
393	Balaenoptera acutorostrata
394	Balaenoptera bonaerensis
395	Balaenoptera borealis
396	Balaenoptera edeni
397	Blarinella griselda
398	Blarinella quadraticauda
399	Blarinella wardi
400	Blarinomys breviceps
401	Blastocerus dichotomus
402	Boromys offella
403	Boromys torrei
404	Brachylagus idahoensis
405	Brachyphylla cavernarum
406	Brachyphylla nana
407	Brachytarsomys albicauda
408	Brachytarsomys villosa
409	Brachyteles arachnoides
410	Brachyteles hypoxanthus
411	Brachyuromys betsileoensis
412	Brachyuromys ramirohitra
413	Bradypus pygmaeus
414	Crocidura olivieri
415	Crocidura orientalis
416	Cephalophus dorsalis
417	Cephalophus jentinki
418	Cephalophus leucogaster
419	Cephalophus natalensis
420	Chaetomys subspinosus
421	Chaetophractus nationi
422	Chaetophractus vellerosus
423	Chaetophractus villosus
424	Chalinolobus dwyeri
425	Chalinolobus gouldii
426	Chalinolobus morio
427	Chalinolobus neocaledonicus
428	Dendrolagus inustus
429	Dendrolagus lumholtzi
430	Dendrolagus matschiei
431	Dendrolagus mbaiso
432	Dendrolagus pulcherrimus
433	Dendrolagus scottae
434	Dendrolagus spadix
435	Dendrolagus stellarum
436	Dendrolagus ursinus
437	Dendromus insignis
438	Dendromus kahuziensis
439	Dendromus leucostomus
440	Dendromus lovati
441	Dendromus melanotis
442	Dendromus mesomelas
443	Dendromus messorius
444	Dendromus mystacalis
445	Dendromus nyasae
446	Dendromus nyikae
447	Dendromus oreas
448	Dendromus vernayi
449	Dendroprionomys rousseloti
450	Deomys ferrugineus
451	Dephomys defua
452	Dephomys eburneae
453	Desmana moschata
454	Desmodilliscus braueri
455	Desmodillus auricularis
456	Desmodus rotundus
457	Desmomys harringtoni
458	Desmomys yaldeni
459	Diaemus youngi
460	Dicerorhinus sumatrensis
461	Diceros bicornis
462	Diclidurus albus
463	Diclidurus ingens
464	Diclidurus isabellus
465	Diclidurus scutatus
466	Dicrostonyx groenlandicus
467	Dicrostonyx hudsonius
468	Dicrostonyx nelsoni
469	Dicrostonyx nunatakensis
470	Dicrostonyx richardsoni
471	Dicrostonyx torquatus
472	Dicrostonyx unalascensis
473	Dicrostonyx vinogradovi
474	Didelphis albiventris
475	Didelphis aurita
476	Didelphis imperfecta
477	Didelphis marsupialis
478	Didelphis pernigra
479	Didelphis virginiana
480	Dinaromys bogdanovi
481	Dinomys branickii
482	Diomys crumpi
483	Diphylla ecaudata
484	Diplogale hosei
485	Diplomesodon pulchellum
486	Diplomys caniceps
487	Diplomys labilis
488	Diplomys rufodorsalis
489	Diplothrix legata
490	Dipodillus bottai
491	Dipodillus campestris
492	Dipodillus dasyurus
493	Dipodillus harwoodi
494	Dipodillus jamesi
495	Dipodillus lowei
496	Dipodillus mackilligini
497	Dipodillus maghrebi
498	Elephantulus fuscus
499	Elephantulus intufi
500	Elephantulus myurus
501	Elephantulus revoili
502	Elephantulus rozeti
503	Elephantulus rufescens
504	Elephantulus rupestris
505	Elephas maximus
506	Eligmodontia moreni
507	Eligmodontia morgani
508	Eligmodontia puerulus
509	Eligmodontia typus
510	Eliomys melanurus
511	Eliomys munbyanus
512	Eliomys quercinus
513	Eliurus antsingy
514	Eliurus ellermani
515	Eliurus grandidieri
516	Eliurus majori
517	Eliurus minor
518	Eliurus myoxinus
519	Eliurus penicillatus
520	Eliurus petteri
521	Eliurus tanala
522	Eliurus webbi
523	Ellobius alaicus
524	Ellobius fuscocapillus
525	Ellobius lutescens
526	Ellobius talpinus
527	Ellobius tancrei
528	Emballonura alecto
529	Emballonura atrata
530	Emballonura beccarii
531	Emballonura dianae
532	Emballonura furax
533	Emballonura monticola
534	Emballonura raffrayana
535	Emballonura semicaudata
536	Emballonura serii
537	Enchisthenes hartii
538	Hesperoptenus doriae
539	Hesperoptenus gaskelli
540	Hesperoptenus tickelli
541	Hesperoptenus tomesi
542	Heterocephalus glaber
543	Heterohyrax brucei
544	Heteromys anomalus
545	Heteromys australis
546	Heteromys desmarestianus
547	Lagostomus maximus
548	Lagostrophus fasciatus
549	Lagothrix cana
550	Lagothrix lagotricha
551	Lagothrix lugens
552	Lagothrix poeppigii
553	Lagurus lagurus
554	Lama glama
555	Lamottemys okuensis
556	Eudorcas rufina
557	Eudorcas thomsonii
558	Eulemur albifrons
559	Eulemur albocollaris
560	Eulemur cinereiceps
561	Eulemur collaris
562	Eulemur coronatus
563	Eulemur fulvus
564	Eulemur macaco
565	Eulemur mongoz
566	Eulemur rubriventer
567	Eulemur rufus
568	Eulemur sanfordi
569	Eumetopias jubatus
570	Galago thomasi
571	Galago zanzibaricus
572	Galea flavidens
573	Galea musteloides
574	Galea spixii
575	Galemys pyrenaicus
576	Galenomys garleppi
577	Galeopterus variegates
578	Galerella flavescens
579	Galerella ochracea
580	Galerella pulverulenta
581	Galerella sanguinea
582	Galictis cuja
583	Galictis vittata
584	Galidia elegans
585	Galidictis fasciata
586	Galidictis grandidieri
587	Gazella arabica
588	Gazella bennettii
589	Gazella cuvieri
590	Gazella dorcas
591	Gazella erlangeri
592	Gazella gazella
593	Gazella leptoceros
594	Gazella saudiya
595	Gazella spekei
596	Gazella subgutturosa
597	Genetta abyssinica
598	Genetta angolensis
599	Gerbillus gerbillus
600	Gerbillus gleadowi
601	Gerbillus grobbeni
602	Bandicota savilei
603	Barbastella barbastellus
604	Barbastella leucomelas
605	Bassaricyon alleni
606	Bassaricyon beddardi
607	Bassaricyon gabbii
608	Bassaricyon lasius
609	Bassaricyon pauli
610	Bassariscus astutus
611	Bassariscus sumichrasti
612	Bathyergus janetta
613	Bathyergus suillus
614	Batomys dentatus
615	Batomys granti
616	Batomys russatus
617	Batomys salomonseni
618	Bauerus dubiaquercus
619	Bdeogale crassicauda
620	Bdeogale jacksoni
621	Bdeogale nigripes
622	Beamys hindei
623	Beamys major
624	Beatragus hunteri
625	Belomys pearsonii
626	Berardius arnuxii
627	Berardius bairdii
628	Berylmys berdmorei
629	Berylmys bowersi
630	Berylmys mackenziei
631	Berylmys manipulus
632	Bettongia gaimardi
633	Bettongia lesueur
634	Bettongia penicillata
635	Bettongia tropica
636	Bibimys chacoensis
637	Bibimys labiosus
638	Bradypus torquatus
639	Bradypus tridactylus
640	Bradypus variegatus
641	Brotomys contractus
642	Brotomys voratus
643	Brucepattersonius albinasus
644	Brucepattersonius griserufescens
645	Brucepattersonius guarani
646	Brucepattersonius igniventris
647	Brucepattersonius iheringi
648	Brucepattersonius misionensis
649	Brucepattersonius paradisus
650	Brucepattersonius soricinus
651	Bubalus bubalis
652	Bubalus depressicornis
653	Bubalus mindorensis
654	Bubalus quarlesi
655	Budorcas taxicolor
656	Bullimus bagobus
657	Bullimus gamay
658	Bullimus luzonicus
659	Bunolagus monticularis
660	Bunomys andrewsi
661	Bunomys chrysocomus
662	Bunomys coelestis
663	Bunomys fratrorum
664	Bunomys penitus
665	Bunomys prolatus
666	Bunopithecus hoolock
667	Cheiromeles parvidens
668	Cheiromeles torquatus
669	Chelemys delfini
670	Chelemys macronyx
671	Chelemys megalonyx
672	Chibchanomys orcesi
673	Chibchanomys trichotis
674	Chilomys instans
675	Chilonatalus micropus
676	Chilonatalus tumidifrons
677	Chimarrogale hantu
678	Chimarrogale himalayica
679	Chimarrogale phaeura
680	Chimarrogale platycephalus
681	Chimarrogale styani
682	Chimarrogale sumatrana
683	Chinchilla chinchilla
684	Chinchilla lanigera
685	Chinchillula sahamae
686	Chionomys gud
687	Chionomys nivalis
688	Chionomys roberti
689	Chiroderma doriae
690	Chiroderma improvisum
691	Chiroderma salvini
692	Chiroderma trinitatum
693	Chiroderma villosum
694	Chiromyscus chiropus
695	Chironax melanocephalus
696	Chironectes minimus
697	Chiropodomys calamianensis
698	Chiropodomys gliroides
699	Chiropodomys karlkoopmani
700	Chiropodomys major
701	Chiropodomys muroides
702	Chiropodomys pusillus
703	Chiropotes albinasus
704	Chiropotes chiropotes
705	Chiropotes israelita
706	Chiropotes satanas
707	Chiropotes utahickae
708	Chiruromys forbesi
709	Chiruromys lamia
710	Chiruromys vates
711	Chlamyphorus truncatus
712	Chlorocebus aethiops
713	Chlorocebus cynosuros
714	Chlorocebus djamdjamensis
715	Chlorocebus pygerythrus
716	Chlorocebus sabaeus
717	Chlorocebus tantalus
718	Chlorotalpa duthieae
719	Burramys parvus
720	Cabassous centralis
721	Cabassous chacoensis
722	Cabassous tatouay
723	Cabassous unicinctus
724	Cacajao calvus
725	Cacajao melanocephalus
726	Caenolestes caniventer
727	Caenolestes condorensis
728	Caenolestes convelatus
729	Caenolestes fuliginosus
730	Calcochloris leucorhinus
731	Calcochloris obtusirostris
732	Calcochloris tytonis
733	Callicebus baptista
734	Callicebus barbarabrownae
735	Callicebus bernhardi
736	Callicebus brunneus
737	Callicebus caligatus
738	Callicebus cinerascens
739	Callicebus coimbrai
740	Capra nubiana
741	Capra pyrenaica
742	Capra sibirica
743	Capra walie
744	Capreolus capreolus
745	Capreolus pygargus
746	Capricornis crispus
747	Capricornis milneedwardsii
748	Capricornis rubidus
749	Capricornis sumatraensis
750	Capricornis swinhoei
751	Capricornis thar
752	Caprolagus hispidus
753	Capromys gundlachianus
754	Capromys pilorides
755	Caracal caracal
756	Cardiocranius paradoxus
757	Cardioderma cor
758	Carollia brevicauda
759	Carollia castanea
760	Carollia colombiana
761	Carollia perspicillata
762	Carollia sowelli
763	Carollia subrufa
764	Carpitalpa arendsi
765	Carpomys melanurus
766	Carpomys phaeurus
767	Carterodon sulcidens
768	Caryomys eva
769	Caryomys inez
770	Casinycteris argynnis
771	Castor canadensis
772	Castor fiber
773	Catagonus wagneri
774	Catopuma badia
775	Catopuma temminckii
776	Cavia aperea
777	Cavia fulgida
778	Cavia intermedia
779	Cavia magna
780	Cavia porcellus
781	Cavia tschudii
782	Cebus albifrons
783	Cebus apella
784	Cebus capucinus
785	Cebus kaapori
786	Cebus libidinosus
787	Cebus nigritus
788	Cebus olivaceus
789	Cebus xanthosternos
790	Centronycteris centralis
791	Centronycteris maximiliani
792	Centurio senex
793	Cephalophus adersi
794	Cephalophus brookei
795	Cephalophus callipygus
796	Crocidura horsfieldii
797	Crocidura hutanis
798	Crocidura ichnusae
799	Crocidura indochinensis
800	Crocidura jacksoni
801	Crocidura jenkinsi
802	Crocidura jouvenetae
803	Crocidura katinka
804	Crocidura kivuana
805	Crocidura lamottei
806	Crocidura lanosa
807	Crocidura lasiura
808	Crocidura latona
809	Crocidura lea
810	Crocidura lepidura
811	Crocidura leucodon
812	Crocidura levicula
813	Crocidura littoralis
814	Crocidura longipes
815	Crocidura lucina
816	Crocidura ludia
817	Crocidura luna
818	Crocidura lusitania
819	Crocidura macarthuri
820	Crocidura macmillani
821	Crocidura macowi
822	Crocidura malayana
823	Crocidura manengubae
824	Crocidura maquassiensis
825	Crocidura mariquensis
826	Crocidura maurisca
827	Crocidura maxi
828	Crocidura mindorus
829	Crocidura miya
830	Crocidura monax
831	Crocidura monticola
832	Crocidura montis
833	Crocidura muricauda
834	Crocidura musseri
835	Crocidura mutesae
836	Crocidura nana
837	Crocidura nanilla
838	Crocidura negligens
839	Crocidura negrina
840	Crocidura nicobarica
841	Crocidura nigeriae
842	Crocidura nigricans
843	Crocidura nigripes
844	Crocidura nigrofusca
845	Crocidura nimbae
846	Crocidura niobe
847	Crocidura obscurior
848	Chalinolobus nigrogriseus
849	Chalinolobus picatus
850	Chalinolobus tuberculatus
851	Cheirogaleus adipicaudatus
852	Cheirogaleus crossleyi
853	Cheirogaleus major
854	Cheirogaleus medius
855	Cheirogaleus minusculus
856	Cheirogaleus ravus
857	Cheirogaleus sibreei
858	Chlorotalpa sclateri
859	Chodsigoa caovansunga
860	Chodsigoa hypsibia
861	Chodsigoa lamula
862	Chodsigoa parca
863	Chodsigoa parva
864	Chodsigoa salenskii
865	Chodsigoa smithii
866	Chodsigoa sodalis
867	Choeroniscus godmani
868	Choeroniscus minor
869	Choeroniscus periosus
870	Choeronycteris mexicana
871	Choloepus didactylus
872	Choloepus hoffmanni
873	Chrotogale owstoni
874	Chrotomys gonzalesi
875	Chrotomys mindorensis
876	Chrotomys silaceus
877	Chrotomys whiteheadi
878	Chrotopterus auritus
879	Chrysochloris asiatica
880	Chrysochloris stuhlmanni
881	Chrysochloris visagiei
882	Chrysocyon brachyurus
883	Chrysospalax trevelyani
884	Chrysospalax villosus
885	Cistugo lesueuri
886	Cistugo seabrae
887	Civettictis civetta
888	Clidomys osborni
889	Cloeotis percivali
890	Clyomys bishopi
891	Clyomys laticeps
892	Coccymys albidens
893	Coccymys ruemmleri
894	Coelops frithii
895	Coelops robinsoni
896	Coendou bicolor
897	Coendou nycthemera
898	Coendou prehensilis
899	Coendou rothschildi
900	Coleura afra
901	Coleura seychellensis
902	Colobus angolensis
903	Colobus guereza
904	Colobus polykomos
905	Colobus satanas
906	Colobus vellerosus
907	Colomys goslingi
908	Condylura cristata
909	Conepatus chinga
910	Conepatus humboldtii
911	Conepatus leuconotus
912	Conepatus semistriatus
913	Congosorex polli
914	Congosorex verheyeni
915	Conilurus albipes
916	Conilurus penicillatus
917	Connochaetes gnou
918	Dasymys montanus
919	Dasymys nudipes
920	Dasymys rufulus
921	Dasymys rwandae
922	Dasymys sua
923	Dasyprocta azarae
924	Dasyprocta coibae
925	Dasyprocta cristata
926	Dasyprocta fuliginosa
927	Dasyprocta guamara
928	Dasyprocta kalinowskii
929	Dasyprocta leporina
930	Dasyprocta mexicana
931	Dasyprocta prymnolopha
932	Dasyprocta punctata
933	Dasyprocta ruatanica
934	Dasypus hybridus
935	Dasypus kappleri
936	Dasypus novemcinctus
937	Dasypus pilosus
938	Dasypus sabanicola
939	Eumops patagonicus
940	Eumops perotis
941	Eumops trumbulli
942	Eumops underwoodi
943	Euneomys chinchilloides
944	Euneomys fossor
945	Euneomys mordax
946	Euneomys petersoni
947	Euoticus elegantulus
948	Euoticus pallidus
949	Eupetaurus cinereus
950	Euphractus sexcinctus
951	Eupleres goudotii
952	Euroscaptor grandis
953	Euroscaptor klossi
954	Euroscaptor longirostris
955	Euroscaptor micrura
956	Euroscaptor mizura
957	Euroscaptor parvidens
958	Euryzygomatomys spinosus
959	Exilisciurus concinnus
960	Connochaetes taurinus
961	Cormura brevirostris
962	Corynorhinus mexicanus
963	Corynorhinus rafinesquii
964	Corynorhinus townsendii
965	Coryphomys buehleri
966	Craseonycteris thonglongyai
967	Crateromys australis
968	Crateromys heaneyi
969	Crateromys paulus
970	Crateromys schadenbergi
971	Cratogeomys castanops
972	Cratogeomys fumosus
973	Cratogeomys goldmani
974	Cratogeomys gymnurus
975	Cratogeomys merriami
976	Cratogeomys neglectus
977	Cratogeomys tylorhinus
978	Cratogeomys zinseri
979	Cremnomys cutchicus
980	Cremnomys elvira
981	Cricetomys ansorgei
982	Cricetomys emini
983	Cricetomys gambianus
984	Cricetomys kivuensis
985	Cricetulus alticola
986	Crocidura tanakae
987	Crocidura tansaniana
988	Crocidura tarella
989	Crocidura tarfayensis
990	Crocidura telfordi
991	Crocidura tenuis
992	Crocidura thalia
993	Crocidura theresae
994	Crocidura thomensis
995	Crocidura trichura
996	Crocidura turba
997	Crocidura ultima
998	Crocidura usambarae
999	Crocidura viaria
1000	Crocidura virgata
1001	Crocidura voi
1002	Crocidura vorax
1003	Crocidura vosmaeri
1004	Crocidura watasei
1005	Crocidura whitakeri
1006	Crocidura wimmeri
1007	Crocidura wuchihensis
1008	Crocidura xantippe
1009	Crocidura yankariensis
1010	Crocidura zaphiri
1011	Crocidura zarudnyi
1012	Crocidura zimmeri
1013	Crocidura zimmermanni
1014	Crocuta crocuta
1015	Crossarchus alexandri
1016	Crossarchus ansorgei
1017	Crossarchus obscurus
1018	Crossarchus platycephalus
1019	Crossomys moncktoni
1020	Crunomys celebensis
1021	Crunomys fallax
1022	Crunomys melanius
1023	Crunomys suncoides
1024	Cryptochloris wintoni
1025	Cryptochloris zyli
1026	Cryptomys amatus
1027	Cryptomys anselli
1028	Cryptomys bocagei
1029	Cryptomys damarensis
1030	Cryptomys darlingi
1031	Cryptomys foxi
1032	Cryptomys hottentotus
1033	Cryptomys kafuensis
1034	Cryptomys mechowi
1035	Cryptomys ochraceocinereus
1036	Cryptomys zechi
1037	Cryptoprocta ferox
1038	Cryptotis alticola
1039	Cryptotis brachyonyx
1040	Cryptotis colombiana
1041	Cryptotis endersi
1042	Cryptotis equatoris
1043	Cryptotis goldmani
1044	Cryptotis goodwini
1045	Cryptotis gracilis
1046	Cryptotis griseoventris
1047	Cryptotis hondurensis
1048	Cryptotis magna
1049	Cryptotis mayensis
1050	Cryptotis medellinia
1051	Cryptotis mera
1052	Cryptotis meridensis
1053	Cryptotis merriami
1054	Cryptotis mexicana
1055	Cryptotis montivaga
1056	Cryptotis nelsoni
1057	Cryptotis nigrescens
1058	Cryptotis obscura
1059	Cryptotis orophila
1060	Cryptotis parva
1061	Cryptotis peregrina
1062	Cryptotis peruviensis
1063	Cryptotis phillipsii
1064	Cryptotis squamipes
1065	Cryptotis tamensis
1066	Cryptotis thomasi
1067	Cryptotis tropicalis
1068	Ctenodactylus gundi
1069	Ctenodactylus vali
1070	Ctenomys argentinus
1071	Ctenomys australis
1072	Ctenomys azarae
1073	Ctenomys bergi
1074	Ctenomys boliviensis
1075	Ctenomys bonettoi
1076	Ctenomys brasiliensis
1077	Ctenomys budini
1078	Ctenomys colburni
1079	Ctenomys coludo
1080	Ctenomys conoveri
1081	Ctenomys coyhaiquensis
1082	Ctenomys dorbignyi
1083	Ctenomys dorsalis
1084	Ctenomys emilianus
1085	Ctenomys famosus
1086	Ctenomys flamarioni
1087	Ctenomys fochi
1088	Ctenomys fodax
1089	Ctenomys frater
1090	Ctenomys fulvus
1091	Ctenomys goodfellowi
1092	Ctenomys haigi
1093	Ctenomys johannis
1094	Ctenomys juris
1095	Ctenomys knighti
1096	Ctenomys lami
1097	Ctenomys latro
1098	Ctenomys leucodon
1099	Ctenomys lewisi
1100	Ctenomys magellanicus
1101	Ctenomys maulinus
1102	Ctenomys mendocinus
1103	Ctenomys minutus
1104	Ctenomys occultus
1105	Ctenomys opimus
1106	Ctenomys osvaldoreigi
