pantheria_tax_id	pantheria_tax_label
1	Camelus dromedarius
2	Canis adustus
3	Canis aureus
4	Canis latrans
5	Canis lupus
6	Bos frontalis
7	Bos grunniens
8	Bos javanicus
9	Callicebus cupreus
10	Callicebus discolor
11	Callicebus donacophilus
12	Callicebus dubius
13	Callicebus hoffmannsi
14	Callicebus lucifer
15	Callicebus lugens
16	Callicebus medemi
17	Callicebus melanochir
18	Callicebus modestus
19	Caluromys derbianus
20	Caluromys lanatus
21	Caluromys philander
22	Caluromysiops irrupta
23	Calyptophractus retusus
24	Camelus bactrianus
25	Bos sauveli
26	Bos taurus
27	Boselaphus tragocamelus
28	Brachiones przewalskii
29	Canis mesomelas
30	Canis simensis
31	Cannomys badius
32	Cansumys canus
33	Caperea marginata
34	Capra caucasica
35	Capra falconeri
36	Capra hircus
37	Capra ibex
38	Atelerix algirus
39	Atelerix frontalis
40	Atelerix sclateri
41	Ateles belzebuth
42	Ateles chamek
43	Ateles fusciceps
44	Ateles geoffroyi
45	Ateles hybridus
46	Ateles marginatus
47	Ateles paniscus
48	Callicebus moloch
49	Callicebus nigrifrons
50	Callicebus oenanthe
51	Callicebus olallae
52	Callicebus ornatus
53	Callicebus pallescens
54	Callicebus personatus
55	Callicebus purinus
56	Callicebus regulus
57	Callicebus stephennashi
58	Callicebus torquatus
59	Callimico goeldii
60	Callistomys pictus
61	Callithrix acariensis
62	Callithrix argentata
63	Callithrix aurita
64	Callithrix chrysoleuca
65	Callithrix emiliae
66	Callithrix flaviceps
67	Callithrix geoffroyi
68	Callithrix humeralifera
69	Callithrix humilis
70	Callithrix intermedia
71	Callithrix jacchus
72	Callithrix kuhlii
73	Callithrix leucippe
74	Callithrix manicorensis
75	Callithrix marcai
76	Callithrix mauesi
77	Callithrix melanura
78	Callithrix nigriceps
79	Callithrix penicillata
80	Callithrix pygmaea
81	Callithrix saterei
82	Callorhinus ursinus
83	Callosciurus adamsi
84	Callosciurus albescens
85	Callosciurus baluensis
86	Callosciurus caniceps
87	Callosciurus erythraeus
88	Callosciurus finlaysonii
89	Callosciurus inornatus
90	Callosciurus melanogaster
91	Callosciurus nigrovittatus
92	Callosciurus notatus
93	Callosciurus orestes
94	Callosciurus phayrei
95	Callosciurus prevostii
96	Callosciurus pygerythrus
97	Callosciurus quinquestriatus
98	Calomys boliviae
99	Calomys callidus
100	Calomys callosus
101	Calomys expulsus
102	Calomys hummelincki
103	Calomys laucha
104	Calomys lepidus
105	Calomys musculinus
106	Calomys sorellus
107	Calomys tener
108	Calomys tocantinsi
109	Calomys venustus
110	Calomyscus bailwardi
111	Calomyscus baluchi
112	Calomyscus elburzensis
113	Calomyscus grandis
114	Calomyscus hotsoni
115	Calomyscus mystax
116	Calomyscus tsolovi
117	Calomyscus urartensis
118	Caloprymnus campestris
119	Atelocynus microtis
120	Atherurus africanus
121	Atherurus macrourus
122	Atilax paludinosus
123	Atlantoxerus getulus
124	Auliscomys boliviensis
125	Auliscomys pictus
126	Auliscomys sublimis
127	Avahi laniger
