domesticated_taxon_id	domesticated_taxon_name
1	Capra aegagrus aegagrus
2	Sus scrofa libycus
3	Sus scrofa moupinensis
4	Ovis orientalis gmelini
5	Bos primigenius primigenius
6	Bos primigenius namadicus
7	Equus africanus africanus
8	Equus africanus somaliensis
9	Bubalus arnee
10	Camelus thomasi
11	Equus ferus caballus
12	Bos mutus
13	Camelus ferus
14	Lama guanicoe cacsilensis
15	Vicugna vicugna mensalis
16	Bos javanicus javanicus
17	Bos gaurus gaurus
18	Rangifer tarandus
