tsn	completename
4265203	Emballonura raffrayana cor
7261647	Emballonura raffrayana raffrayana
9076226	Vulpes macrotis nevadensis
8971781	Vulpes macrotis zinseri
6164305	Vulpes macrotis macrotis
9195984	Vulpes macrotis arsipus
8759035	Vulpes macrotis tenuirostris
6164306	Vulpes velox mutica
9068550	Vulpes macrotis devius
5219314	Vulpes muticus
6164307	Vulpes macrotis neomexicanus
6164308	Vulpes macrotis mutica
5706383	Kobus kob bahrkeetae
5706364	Kobus kob adolfi
5706366	Kobus kob ubangiensis
7261414	Kobus kob kob
5706384	Kobus kob riparia
5706365	Kobus kob pousarguesi
8736590	Antilope kob
5706374	Kobus kob leucotis
5706375	Kobus kob thomasi
4970858	Basilosaurus isis
9611700	Prozeuglodon isis
8496824	Yindirtemys xiningensis
5707420	Pongo abelii
4975064	Patene coluapiensis
4970523	Dorcatherium jourdani
9815505	Phyllomys centralis
8543068	Bolodon elongatus
4970372	Australocamelus orarius
4262930	Phyllomys medius
5936262	Tataromys suni
4974541	Paromomys depressidens
4969159	Eomoropus major
8644666	Victorlemoineia emarginata
8892565	Thylacosmilus lentis
9287023	Hyaemoschus peneckei
8439838	Desmatotitan tukhumensis
9538702	Canis lemur
4975183	Sinodelphys szalayi
4969157	Eomoropus minimus
8637689	Ameghinichnus parvus
4970638	Hayoceros falkenbachi
9249726	Platygonus scagliai
4945223	Pliometanastes galushai
9330965	Dorcatherium majus
2439813	Thrichomys apereoides
9486788	Eomoropus anarsius
4971381	Messelobunodon ceciliensis
9481877	Meniscodon picteti
4974547	Ignacius frugivorus
8976414	Dorcatherium libiensis
4972231	Tachylagus gawneae
4969160	Eomoropus pawnyunti
9318826	Callorhinus alascanus
4262926	Phyllomys mantiqueirensis
9282678	Eomoropus ulterior
8525663	Chrysocyon nearcticus
8593557	Palaeocardia mater
8524831	Eomoropus annectens
8519952	Deseadomys arambourgi
4969158	Eomoropus quadridentatus
8195436	Rattus maculipilis
8955030	Taeromys callitrichus callitrichus
8902787	Taeromys callitrichus microbullatus
8795435	Rattus maculipilis jentinki
7913513	Schizostoma behnii
4941655	Monotherium maeotica
9304445	Monatherium maeoticum
4941705	Cryptophoca maeotica
9447410	Lepus vetus
9517632	Rhytiodus capgrandi
9441305	Halitherium capgrandi
9637918	Indusomys kaliae
6164313	Vulpes pallida edwardsi
7193879	Vulpes pallida pallida
6164312	Vulpes pallida harterti
6164311	Vulpes pallida cyrenaica
8442441	Canis pallidus
6164310	Vulpes pallida oertzeni
4262927	Phyllomys pattoni
4974546	Ignacius clarkforkensis
4974545	Ignacius graybullianus
9311132	Pongo tapanuliensis
8498293	Dorcatherium minus
9809580	Nuralagus rex
9422076	Viverravus progressus
8574603	Thylacosmilus atrox
4973671	Pondaungimys anomaluropsis
8544167	Yindirtemys shevyrevae
4945222	Pliometanastes protistus
9248847	Pliogulo dudleyi
8583144	Dusicyon culpaeus
9282909	Poebrotherium labiatum
9556412	Messelobunodon schaeferi
9064947	Eomoropus amorarum
9522311	Dorcatherium orientale
4970526	Dorcatherium guntianum
4262928	Phyllomys brasiliensis
4972785	Karakoromys decessus
8697378	Pongo hooijeri
4262932	Phyllomys dasythrix
8525756	Yindirtemys sajakensis
8460764	Symborodon acer
9300797	Megacerops acer
8582395	Incamys pretiosus
8659616	Altacreodus magnus
8649666	Ellipsodon witkoi
8508967	Parvicornus occidentalis
4970153	Cynarctoides emryi
9633599	Nothocyon roii
4262995	Thrichomys pachyurus
4974543	Paromomys maturus
4970131	Ectopocynus antiquus
8488303	Dusicyon avus
4262997	Thrichomys inermis
4970181	Epicyon aelurodontoides
8467639	Bolodon osborni
9249113	Dorcatherium rodgeri
8709031	Yindirtemys birgeri
5937112	Tataromys grangeri
8764758	Dorcatherium minimus
4970225	Cynotherium sardous
9410100	Postpithecus curvicrista
8558635	Othnielmarshia lacunifera
4970186	Cormocyon haydeni
8793140	Pteropus melanopogon aruensis
8758920	Pteropus rufus rufus
8873847	Pteropus melanopogon melanopogon
8867617	Pteropus melanopogon keyensis
8969323	Pteropus rufus princeps
8961398	Cricetulus phaeus griseiventris
5786843	Cricetulus andersoni
8933410	Cricetulus longicaudatus longicaudatus
8815526	Cricetulus andersoni nigrescens
7999137	Cricetulus dichrootis
8871125	Cricetulus longicaudatus nigrescens
9554988	Mimomys meadensis
4973214	Ophiomys meadensis
8560714	Proterotherium americanum
4262935	Phyllomys unicolor
6164993	Heterohyrax brucei somalicus
6165006	Heterohyrax brucei manningi
5847663	Phyllomys blainvilii
8491199	Thelriope capgrandi
2433487	Callorhinus ursinus
8955415	Borophagus direptor
2434450	Chrysocyon brachyurus
6165003	Heterohyrax brucei antineae
4262934	Phyllomys nigrispinus
4262929	Phyllomys lamarum
5218500	Pipistrellus mordax
6165001	Heterohyrax brucei rudolfi
4262931	Phyllomys thomasi
6164989	Heterohyrax brucei hindei
9541601	Adenota kob
2433291	Micronycteris behnii
2434452	Dusicyon australis
4970173	Borophagus pugnator
2438826	Phaulomys andersoni
8606954	Poebrotherium hallii
9269291	Hadroleptauchenia densa
9382288	Cyclopidius densa
4265269	Noctilio leporinus mastivus
6164995	Heterohyrax brucei bakeri
6164984	Heterohyrax brucei ruddi
8954547	Borophagus matthewi
8446619	Loxaulax valdensis
6164997	Heterohyrax brucei granti
8525382	Chasicostylus castroi
8529101	Epieurycerus
7813732	Pudua
5429043	Pudua
4835529	Pudella
4972526	Reithroparamys debequensis
8453559	Iporangabradyx collecti
8621931	Iporangabradyx
4832851	Chlamytherium
8450276	Epimanteoceras amplus
4830389	Megaceratops
8654555	Epimanteoceras praecursor
4833529	Nycthereutes
4833528	Nictereutes
4833524	Nyctoractes
4833527	Nyctireutes
4833525	Nyctereuctes
4833526	Nycteractes
8491733	Diacocherus dockeryi
4827729	Mckennatherium
8456032	Protomegalonyx chasicoensis
8703365	Licaphrium tenuae
9278404	Proeocoleophorus carlinii
8579655	Reithroparamys matthewi
8665157	Symborodon trigonoceras
8520709	Licaphrium mesopotamiense
8880303	Ramapithecus hariensis
9627488	Epimanteoceras mae
8748579	Megacerops primitivus
4970672	Antifer crassus
8689834	Shamolagus medius
4970129	Nyctereutes abdeslami
5787542	Myotis dryas
9170319	Syconycteris crassa keyensis
8879580	Herpestes zebra
5707362	Cercopithecus cephus ngottoensis
7262050	Cercopithecus cephus cephus
5707372	Cercopithecus cephus cephodes
6142035	Simia cephus
9549652	Cyclopidius californica
9409915	Leptauchenia californica
8778510	Rousettus smithii
8764388	Lutra canadensis preblei
8755212	Lutra hudsonica pacifica
8897818	Lutra canadensis nexa
9047704	Lutra canadensis yukonensis
9143604	Lutra canadensis optiva
9154020	Lutra canadensis evexa
8842225	Lutra mira
8907612	Lutra canadensis extera
9214764	Lutra vancouverensis
9482834	Lemur fulvus sanfordi
8762117	Gerbillus opimus nigrescens
9151392	Rhombomys opimus sodalis
7586994	Rhombomys pallidus
9050240	Rhombomys opimus sargadensis
8849384	Rhombomys opimus fumicolor
8956661	Gerbillus opimus dalversinicus
7913748	Gerbillus giganteus
8900288	Rhombomys opimus pevzovi
8997024	Rhombomys opimus alaschanicus
8816492	Atelerix algirus girbaensis
6163483	Atelerix algirus algirus
6163485	Atelerix algirus girbanensis
4409407	Atelerix algirus caniculus
6163484	Atelerix algirus vagans
8830426	Erinaceus algirus
9029799	Amblysomus chrysillus
8905099	Tapirus spegazzinii
8642019	Tapirus anulipes
8900327	Tapirus terrestris obscura
9218254	Rhinolophus borneensis parvus
8760887	Dasypus vellerosus pannosus
9140819	Vespertilio suillus
8353070	Rattus hamatus
9526917	Ateleodon osborni
8663437	Oxyclaenus pearcei
8538329	Megacerops riggsi
9594852	Hapalodectes lopatini
4974035	Hapalodectes anthracinus
8568901	Licaphrium floweri
8650468	Licaphrium debile
4974037	Hapalodectes dux
8560472	Hondalagus altiplanensis
8446802	Licaphrium intermedium
9362947	Palaeotherium proutii
4970187	Psalidocyon marianae
8516497	Distylomys qianlishanensis
8579085	Protomegalonyx doellojuradoi
8568332	Miobasileus ophryas
9486246	Mckennatherium fredericki
8450345	Balochititanops haqi
8747614	Megacerops brachycephalus
9546858	Mckennatherium martinezi
9328052	Gaimanomys alwinea
8619099	Protomegalonyx praecursor
9477915	Hippidium spectans
8643517	Conohyus thailandicus
8523684	Oryctotherium missouriense
8498799	Mylodon sodalis
8470603	Megalonyx potens
8494652	Mylodon tenuceps
8449558	Mylodon renidens
8571943	Mylodon sulcidens
8546239	Eubradys antiquus
8678531	Oryctotherium oregonense
8653734	Mylodon harlani tenuiceps
8706715	Mylodon garmani
8626478	Paramylodon nebrascensis
8817547	Cervulus muntjak grandicornis
9020709	Cervulus muntjak muntjak
8553481	Distylomys tedfordi
4969483	Megacerops kuwagatarhinus
8508143	Angelocabrerus daptes
8474384	Licaphrium proximum
4971322	Makaracetus bidens
9406230	Hyracotherium siderolithicum
4972145	Batodonoides vanhouteni
4945221	Ahytherium aureum
8625313	Ampholophus luensis
8535607	Symborodon torvus
5218699	Pteropus mearnsi
8655581	Eomorphippus rutilatus
8491461	Vulpes fulvipes
8444999	Priscodelphinus productus
8701209	Eurhinodelphis morrisi
8503589	Eurhinodelphis vaughni
4972146	Batodonoides powayensis
9509403	Titanops medius
9435545	Symborodon copei
8478524	Batodonoides walshi
4969484	Megacerops coloradensis
4971341	Artiocetus clavis
8549280	Licaphrium proclivum
8505499	Eleutherodon oxfordensis
9425505	Hapalodectes lushiensis
8471685	Lucentia iberica
8666904	Symborodon altirostris
8858795	Adunator abditus
5707015	Pteropus lombocensis heudei
5707007	Pteropus lombocensis salottii
7261769	Pteropus lombocensis lombocensis
9251432	Merychippus stylodontus
9327960	Amynodon tuskabakensis
8613968	Cadurcodon zaisanensis
9560262	Cervus ultra
9248110	Menodus syceras
9236697	Leptolophus magnus
9281016	Aelurocyon spissidens
8480315	Shamolagus grangeri
4982263	Asmodeus osborni
8567844	Heteroglyphis dewoletzky
8439098	Proargyrolagus bolivianus
8598294	Licaphrium parvulum
9373920	Epieuryceros truncus
9372509	Megaceratops heloceras
8779404	Adunator amplus
4265210	Emballonura alecto rivalis
7261648	Emballonura alecto alecto
4265205	Emballonura alecto anambensis
4265216	Emballonura alecto palawanensis
