tsn	completename
8349502	Mus melanotis
7875207	Mus dichrous
7435665	Mus platytarsus
7937611	Mus melanonotus
7519360	Mus campestris
8397542	Mus segethi
8072046	Mus illapelinus
8925939	Herpestes griseus montanus
9032482	Herpestes griseus griseus
9262703	Cervus ramosus pyrenaicus
9619269	Cervus ramosus ramosus
8263789	Dermanura phaeotis
9181348	Stenella spinosa
9510940	Eochalicotherium minutum
4968916	Dioplotherium manigaulti
8548379	Acritophiomys bowni
9375023	Infrapithecus expansus
4968914	Corystosiren varguezi
8662942	Oracodon conulus
8234645	Dermanura cinerea
8488778	Parietobalaena campiniana
8520002	Proeuphractus setiger
8522745	Anatrachytherus soriai
9563458	Eutrachytherus conturbatus
8471462	Coresodon cancellatus
4982165	Proedium solitarium
8601522	Ameghinotherium curuzucuatiense
8505073	Leptotomus huerfanensis
8451488	Yindirtemys woodi
8920671	Phyllotis arenarius chilensis
7364198	Mus rupestris
8148180	Phyllotis ricardulus
8182488	Phyllotis abrocodon
7669566	Phyllotis wolffhuegeli
8884793	Phyllotis darwini posticalis
7405788	Phyllotis oreigenus
8103569	Hesperomys glirinus
7594324	Mus capito
9070494	Phyllotis darwini vaccarum
7829254	Phyllotis arenarius
7906340	Hesperomys lanatus
5786507	Galago senegalensis inustus
9285752	Leptauchenia nitida
8627841	Ticholeptus hypsodus
5787391	Carollia manu
9245610	Diochotichus vanbenedeni
4970277	Indohyus indirae
4969140	Propotto leakeyi
8446132	Proeuphractus limus
8480228	Albionbaatar denisae
4970278	Indohyus major
5786473	Cacajao hosomi
8500952	Peraceras troxelli
2433175	Carollia subrufa
4832189	Dermanura watsoni
7632206	Dermanura azteca
4264327	Thomomys umbrinus atrovarius
6164650	Catopuma temminckii dominicanorum
6164067	Herpestes edwardsi lanka
5220060	Stenella longirostris
9393471	Physalus antiquorum
8608002	Balaenoptera boops
8550568	Eptesicus grandis
2440467	Lissodelphis borealis
8363584	Coendou melanurus
8679526	Trachytherus conturbatus
5220045	Stenella frontalis
2440433	Steno bredanensis
9291591	Texoceros texanus
4832188	Dermanura anderseni
2433176	Carollia perspicillata
2433177	Carollia brevicauda
5220050	Stenella attenuata
6164458	Conepatus semistriatus amazonicus
2436410	Cacajao calvus
9370351	Isoproedrium solitarium
9515658	Proedrium solitarium
9350628	Platyochoerus platycephalus
8526651	Arctotherium enectum
8680411	Tetralophodon elegans
9464001	Sectisodon markgrafi
9322433	Victorlemoinea labyrinthica
9622813	Asianeomys dangheensis
9481290	Capromeryx altidens
4970631	Texoceros altidens
4973866	Paramys nini
8594936	Xesmodon prolixus
8582556	Poiana poensis
4973098	Kirkomys schlaikjeri
8491677	Proharrymys schlaikjeri
8504408	Ustatochoerus major
9536097	Metoreodon major
4832191	Dermanura gnoma
8622530	Deperetella depereti
5787233	Pardofelis temminckii
8669334	Polymorphis planus
5936139	Protolabis heterodontus
4974575	Anchomomys pygmaeus
9235458	Periconodon pygmaeus
9537075	Fendantia pygmaeus
4974749	Mesopithecus monspessulanus
9586690	Pronomotherium madisonium
9374293	Brachycrus madisonius
9594491	Trigonolestes metsiacus
4971366	Diacodexis metsiacus
5219960	Acrobates pygmaeus
2436409	Cacajao melanocephalus
8664375	Croizetoceros ramosus
4974284	Aletodon mellon
5936018	Gomphotherium brewsterensis
9590676	Eutrachytherus spegazzinianus
8624297	Yindirtemys grangeri
9525427	Basilosaurus harwoodi
9334002	Microzeuglodon harwoodi
4971354	Metasqualodon harwoodi
5936142	Protolabis gracilis
9273540	Cervus davidianus
4971759	Planisorex dixonensis
4832190	Dermanura tolteca
4832192	Dermanura glauca
8577407	Boreostemma venezolensis
4972074	Amphechinus horncloudi
4972968	Phelosaccomys annae
4968917	Dioplotherium allisoni
2433317	Leptonycteris nivalis
4265736	Paranyctimene tenax
4351474	Steno gadamu
9781579	? griseus
9560170	? curi
9399726	? unau
9565020	? burmeisteri
9395057	? circularis
9468280	? juanajuatense
9490396	? cylindricus
9589044	? adteger
4834452	Synhapalops
9279301	? laurillardi
9371925	? gervaisi
9444764	? fissognathus
9322990	? rutimeyeri
9256816	? smaltatus
9636050	? rusconii
9514060	? elenense
4830085	Deccanolestes
4574623	Interodon
4834463	Hapaloides
4834484	Proprepotherium
7920161	Pelecyodon
3239362	Eremotherium
4834460	Neohapalops
4832999	Prepotheriops
8302031	? myosuros
2439765	Proechimys myosuros
4576656	Zamicrus
4834456	Megatheridium
4834475	Schismotherium
4834451	Proeremotherium
4834336	Tereutherium
4975016	Miccylotyrans minimus
8815801	Dagonodum mojnum
4834600	Dungugus
4834594	Halicora
4834609	Halycore
4834592	Halichore
4834635	Halicorne
3239669	Platystomus
4834606	Halicon
4834601	Amblychilus
4834595	Halicore
4834623	Halicone
4834599	Dugongidus
4834633	Udobaenus
3239667	Odobenus
4834598	Dugungus
3240584	Callomys
4827892	Eriomys
9825116	Callimys
4826124	Distaechurus
8475133	Prokennalestes kozlovi
8597470	Prokennalestes
9567055	Lonchorhina mankomara
4831996	Trygenycteris
4832081	Embalanura
4832076	Declidurus
4832077	Depanycteris
4832082	Emballontura
4832078	Drepanycteris
9366145	Micromomys millennius
8750273	Emballonura nigrescens
4975181	Anchistodelphys delicatus
8597277	Dryomomys dulcifer
2433124	Emballonura furax
8608761	Teratodon enigmae
4968720	Bryceomys fumosus
4968722	Bryceomys hadrosus
4265387	Lonchorhina inusitata
8624829	Laodon venustus
8571843	Sarkastodon henanensis
8705706	Octacodon valens
2433088	Coleura afra
4830086	Asioryctes
4834449	Plesiomegatherium
4834458	Perezfontanatherium
8651312	Aphelops brachyodus
8628828	Aphelops montanus
8569702	Diceratherium jamberi
8447519	Aphelops ceratorhinus
4834464	Analcimorphus
4834448	Pyramiodontherium
4834476	Urumaquia
4834383	Grypotherium
4834453	Parapelecyodon
2436350	Bradypus
4834446	Prepotherium
3239351	Diheterocnus
4830096	Hyotheridium
9516105	Stegodon trigonocephalus florensis
8572026	Stegodon trigonocephalus ngandongensis
8637209	Stegodon trigonocephalus trigonocephalus
7261812	Eptesicus nasutus nasutus
4265986	Eptesicus nasutus batinensis
4834459	Anisodontherium
4834477	Promegatherium
3239359	Hapalops
3239353	Orycterotherium
3239357	Megatherium
4834450	Proscelidodon
4834492	Ocnopus
4834473	Hyperleptus
3239846	Tardigradus
9134086	Phascogale flavipes adusta
8679709	Prepoplanops
4834421	Kulbeckia
4834483	Planops
9150009	Dasypus vellerosus
7059503	Chaetophractus vellerosus vellerosus
6163135	Chaetophractus vellerosus pannosus
4834461	Megathericulus
4834474	Xenocnus
4834472	Eomegatherium
7259325	Microcavia niata niata
8805467	Spermophilus brunneus brunneus
8850055	Vespertilio hesperida
8927531	Martes caurina caurina
5847373	Martes caurina
9060015	Hipposideros bicolor gilberti
9091282	Kerivoula weberi
4267061	Trachypithecus vetulus nestor
8819326	Pithecus vetulus phillipsi
9087581	Ateles melanochir
8845392	Ateles cucullatus
8728717	Ateles belzebuth trianguligera
9061891	Nyctinomus murinus
8641853	Conacodon utahensis
9029149	Presbytis ignita
8695762	Guimarotodus inflatus
8644599	Mesoreodon danai
2433130	Emballonura monticola
4975026	Amblotherium soricinum
2440108	Distoechurus pennatus
2433127	Emballonura sulcata
9415897	Pseudamphimeryx salesmei
4971426	Megachoerus latidens
2433159	Choeroniscus periosus
9177669	Emballonura discolor
8441765	Mesoreodon intermedius
8513375	Dugong indicus
8754744	Epomophorus pousarguesi
8975965	Felis charltonii
5787525	Cynopterus blanfordi
8954438	Promops pamana
8744472	Rhinolophus augur
9055142	Chilonycteris parnellii gonavensis
9031551	Pipistrellus austenianus
5706406	Gazella arabica bilkis
9197113	Gazella littoralis osiris
9045263	Gazella littoralis littoralis
7261443	Gazella arabica arabica
4974768	Siamopithecus eocaenus
2433122	Emballonura beccarii
2433215	Lonchorhina aurita
4968769	Bubodens magnus
4971622	Prokennalestes trofimovi
2433216	Lonchorhina marinkellei
2433090	Diclidurus ingens
2432841	Harpyionycteris celebensis
2433091	Diclidurus scutatus
2432970	Alionycteris paucidentata
4262215	Moschus berezovskii berezovskii
4262222	Moschus berezovskii bijiangensis
4262216	Moschus berezovskii yanguiensis
4262225	Moschus berezovskii caobangis
4264091	Ratufa bicolor bicolor
4264092	Ratufa bicolor gigantea
9484898	Sciurus bicolor
4264102	Ratufa bicolor phaeopepla
4264093	Ratufa bicolor melanopepla
4264109	Ratufa bicolor condorensis
4264111	Ratufa bicolor palliata
4264101	Ratufa bicolor leucogenys
9206937	Ratufa bicolor angusticeps
4264100	Ratufa bicolor felli
4264094	Ratufa bicolor smithi
7880853	Ratufa tennentii
4264110	Ratufa bicolor hainana
4971089	Izikoziphius rossi
8554723	Mesoreodon wheeleri
2433123	Emballonura raffrayana
8259533	Megaloglossus azagnyi
9236821	Pseudamphimeryx valdensis
2432840	Harpyionycteris whiteheadi
4971090	Izikoziphius angustus
4834596	Trichechus dugon
4971427	Megachoerus zygomaticus
4262466	Cephalophus weynsi lestradei
4262460	Cephalophus weynsi weynsi
4262473	Cephalophus weynsi johnstoni
8963093	Oryzomys chapmani caudatus
9213751	Oryzomys chapmani dilutior
8843153	Oryzomys alfaroi huastecae
7700085	Oryzomys guerrerensis
9368984	Panochthus lundi
9454151	Brachyodus fraasi
7783880	? dimidiatus
8590682	Analcitherium antarticum
8683820	Prokennalestes minor
4975151	Kokopellia juddi
9729967	Dugong dugon
2433092	Diclidurus albus
4971098	Aporotus recurvirostris
8525206	Thereutherium thylacodes
8589024	Teratodon spekei
8818693	Amblotherium mustelula
4974366	Karakia longidens
5786972	Phodopus praedilectus
8251138	Cricetulus bedfordiae
8755895	Didelphis peregrinus
6165069	Pseudocheirus peregrinus occidentalis
6165070	Pseudocheirus peregrinus pulcher
7194047	Pseudocheirus peregrinus peregrinus
8443680	Pseudochirus peregrinus
6165071	Pseudocheirus peregrinus convolutor
2436485	Tarsius dianae
9002033	Herpestes gambianus
9536278	Neoclaenodon procyonoides
4264738	Chinchilla chinchilla
4968721	Bryceomys intermedius
9020512	Merycopotamus anisae
9543480	Pseudamphimeryx hantonensis
9351193	Pseudamphimeryx schlosseri
5219944	Chinchilla lanigera
8416463	? lanosus
7847218	? blanfordi
5219418	Panthera tigris sumatrae
4969819	Felis tigris
7059276	Panthera tigris tigris
5219425	Panthera tigris amoyensis
8870789	Panthera tigris styani
5219422	Panthera tigris sondaica
5219419	Panthera tigris balica
5219420	Panthera tigris altaica
5219424	Panthera tigris corbetti
5219423	Panthera tigris virgata
7945659	Viverra maculata
9505684	Morlodon vellerei
7792489	Coleura kibomalandy
4265215	Emballonura serii
9627657	Hallebune krumbiegeli
4971273	Lamprolithax simulans
4975182	Anchistodelphys archibaldi
2433213	Lonchorhina fernandezi
4970399	Pseudamphimeryx pavloviae
2433087	Coleura seychellensis
4970398	Pseudamphimeryx renevieri
8461323	Promerycochoerus erythroceps
9629228	Tataromys gobiensis
4974907	Myrmecophaga tetradactyla
8578062	Tamandua tetradactyla punensis
7059485	Tamandua tetradactyla tetradactyla
9145989	Tamandua tetradactyla mexicana
8919885	Tamandua tetradactyla kriegi
6163658	Tamandua tetradactyla quichua
8938610	Tamandua tetradactyla opisthomelas
8900131	Tamandua tetradactyla etensis
6163659	Tamandua tetradactyla nigra
6163657	Tamandua tetradactyla straminea
9110799	Tamandua tetradactyla opistholeuca
7059539	Rhynchocyon petersi petersi
5220101	Rhynchocyon petersi adersi
4970898	Balaenotus insignis
9414189	Balaena insignis
4265334	Artibeus toltecus hesperus
8344783	Stenoderma tolteca
4265329	Artibeus toltecus toltecus
4971303	Archaeodelphis patrius
9249767	Sarkastodon mongoliensis
8528181	Megachoerus praecursor
9471130	Promerycochoerus minor
4971099	Aporotus dicyrtus
4970453	Mesoreodon floridensis
2432799	Megaloglossus woermanni
9270801	Ticholeptus breviceps
4974472	Dryomomys szalayi
4971274	Lamprolithax annectens
4974404	Colpoclaenus keeferi
5936180	Stenella kabatensis
4970454	Mesoreodon chelonyx
2433120	Emballonura dianae
2433214	Lonchorhina orinocensis
8787555	Diclidurus freyreissi
2432377	Eptesicus melckorum
7261798	Neoromicia capensis capensis
4826912	Phascogale godmani
2433158	Choeroniscus minor
8370064	Vampyriscus brocki
2433093	Diclidurus isabellus
4265922	Neoromicia capensis damarensis
4265915	Neoromicia capensis nkatiensis
8412031	Vampyriscus bidens
2437920	Akodon lanosus
7966097	Paremballonura tiavato
4265913	Neoromicia capensis garambae
4265904	Neoromicia melckorum
4266027	Eptesicus nasutus pellucens
2433126	Emballonura semicaudata
4265711	Plerotes anchietae
9397966	Panochtus lundi
9537339	Crossarchus gambianus
2433161	Choeroniscus godmani
4263003	Microcavia niata pallidior
2432851	Eidolon helvum
2432850	Eidolon dupreanum
4265934	Neoromicia capensis notius
2433121	Emballonura alecto
7462894	Paremballonura atrata
2439770	Proechimys dimidiatus
2433260	Artibeus toltecus
4265933	Neoromicia capensis gracilior
9595255	Kaupitherium bronni
8642432	Herpestes rubrifons
9548708	Agriochoerus pearcei
9578555	Aphelops profectus
4969510	Peraceras profectum
4265978	Eptesicus nasutus matschiei
9344281	Enhydrocyon geringensis
4970134	Sunkahetanka geringensis
9459672	Pithecus rubicundus ignitus
4972196	Dinosorex sansaniensis
8515128	Utemylus serior
9257306	Serridentinus rugosidens
5936016	Gomphotherium rugosidens
8704860	Lomaphorus meyeri
9240104	Hypocetus poucheti
9531960	Paracetus poucheti
4971133	Diaphorocetus poucheti
4971075	Dalpiazina ombonii
9599448	Acrodelphis ombonii
8590219	Perimys puellus
9627814	Mimomys poaphagus
9561253	Tarsius spectrum dentatus
2438731	Cremnomys blanfordi
8680120	Oryzomys fulvescens
9501258	Asianeomys asiaticus
8543379	Eomyodon asiaticus
8574079	Yindirtemys deflexus
9554205	Bohlinotona pusilla
4968654	Neoplagiaulax grangeri
7923589	Vampyriscus nymphaea
4971293	Parapontoporia sternbergi
4970221	Enhydrocyon pahinsintewakpa
4834493	Gilsolaresia
4834518	Sphenotherus
9289527	? bolivianum
9600570	? harlani
9479140	? chilensis
9600147	? wegneri
4834510	Scelidodon
9361394	? armatus
9405631	? robustus
9289915	? gracilis
9479543	? chapadmalensis
4830104	Huilabradys
4834455	Pronothrotherium
4834522	Neomylodon
4830107	Amphibradys
4834482	Xyophorus
3239383	Acremylodon
4834505	Pleurolestodon
4834523	Scelidoodon
4834503	Ranculcus
4834509	Catonyx
4834508	Lestodon
4972338	Campestrallomys dawsonae
9332333	Haplomys dawsonae
3239354	Nothrotherium
4834480	Nothropus
2436325	Cyclopes
4834502	Megabradys
9308820	Tomarctus robustus
9294882	Mionothropus
4834517	Thinobadistes
9487993	Baraguatherium
4834512	Promylodon
8571924	Paroctodontotherium
4834524	Strabosodon
4829714	Prolestodon
4945212	Kiyumylodon
3239381	Mylodon
4834514	Urumacotherium
3240198	Sphaerocephalus
8453123	Delphinus wasii
7516735	Tursio
4287974	Rhinodelphis
5429012	Globiceps
7465968	Globicephalus
4351554	Delphinus niger
4351525	Delphinus minimus
4351734	Globiocephala
4287975	Eudelphinus
3239862	Delphis
4351546	Delphinus bertini
4351731	Globiocephalus
4832401	Dolphinus
4832402	Lagenoelphis
4351502	Delphinus coronatus
4351733	Globicephalus
4832422	Gadamu
8148734	Cetus
4351500	Eudelphinus tasmaniensis
4351833	Gudamu
4970964	Amphicetus editus
8585361	Amphicetus verus
4835400	Ancodus
3240383	Hyopotamus
8492083	Amnotherium profundatum
4835908	Ammotherium
4831501	Lymodon
4829754	Amnotherium
4832180	Chrotoptems
4832210	Trichocoryctes
4832208	Trichocoryes
5428948	Vampyrus
4832209	Trichocorytes
8859484	Tursiops dawsoni
8643094	Selenacodon brevis
4968701	Catopsalis calgariensis
8622428	Delphinus dewaeli
4968697	Catopsalis alexanderi
9608773	Africanacetus gracilis
8624913	Catopsalis utahensis
4970823	Bothriodon advena
8703692	Amnotherium declivum
9241603	Rayanistes afer
8482420	Halodon serratus
4968698	Catopsalis waddleae
4970966	Amphicetus later
8501424	Amnotherium aculeatum
9736334	Catocapes angolanus
4834428	Amphiocnus
9346706	Paravulpavoides cooperi
4834504	Lestodontidion
4834454	Chasicobradys
4834426	Pseudoglyptodon
4834481	Thalassocnus
4834425	Palaeomyrmidon
4834511	Paramylodon
8493465	Merychyus euryops
4834423	Diellipsodon
4834516	Paraglossotherium
4830118	Brievabradys
9398145	Simomylodon
4834507	Mylodonopsis
4834485	Nothrotheriops
4834513	Glossotheriopsis
4834506	Bolivartherium
9378373	Scaldicetus mortselensis
9571624	Delphinus mortezelensis
9388619	Eudelphis mortselensis
4971141	Scaldicetus mortezelensis
4834519	Glossotherium
8473110	Scelidotheridium
8553281	Lestobradys
6066806	Lagidium viscacia viscaccica
9056439	Pteropus geddiei
9032256	Boselaphus major
9409289	Charronia flavigula saba
9225218	Pithecus pileatus tenebricus
8770366	Trachops coffini
5786427	Lepilemur hubbardorum
8731906	Myotis larensis
8778852	? monticola
9178633	Presbytis ursinus
8890634	Perameles bougainville fasciata
8821932	Perameles bougainville bougainville
8894026	Tadarida intermedia
8906435	Megaderma frons
9556327	Bransatoglis planus
8673725	Nematherium longirostris
9499294	Delphinus cortesii
8606587	Delphinus rikuzenensis
9016086	Epomophorus neumanni
8653792	Kramadolops fissuratus
8537788	Cyclopidius quadratus
8469857	Suomys selenis
5787452	Epomophorus anselli
8661303	Lymodon auca
2433133	Balantiopteryx io
2433148	Centurio senex
2432790	Epomophorus gambianus
2433132	Balantiopteryx plicata
9602914	Delphinus karsteni
9694741	Delphinus spec
8470671	Thylacotinga bartholomaii
8937969	Epomophorus zenkeri
8950086	Vespertilio temminckii
8747928	Scotophilus nigritellus
9575718	Goupilictis minor
4831965	Scoteinus orion
8934501	Noctilio minor
4265590	Aselliscus tricuspidatus novehebridensis
7261722	Aselliscus tricuspidatus tricuspidatus
4265589	Aselliscus tricuspidatus koopmani
4265588	Aselliscus tricuspidatus novaeguinae
4968699	Catopsalis fissidens
9089828	Epomophorus stuhlmanni
9514166	Tursiops cortesii
9208989	Epomophorus zechi
9633498	Delphinus brevidens
8525626	Sigynorum magnadivisus
8847445	Epomophorus doriae
9053844	Xenorophus sloanii
8541896	Nematherium angulatum
8536554	Anatherium herrerae
8533141	Ictioborus destructor
8832619	Callithrix penicillata jordani
8165935	Hapale trigonifer
4262470	Cephalophus silvicultor curticeps
9421723	Antilope silvicultrix
4262464	Cephalophus silvicultor longiceps
4262457	Cephalophus silvicultor silvicultor
4262459	Cephalophus silvicultor ruficrista
9453565	Delphinus uncidens
4974131	Oxyaenodon dysodus
9603540	Bothriodon chowi
9501074	Tursiops erebennus
4351831	Tursiops catalania
7756652	Delphinus cymodoce
8546186	Kramadolops maximus
9603083	Polydolops mckennai
9271702	Thaumastognathus quercyi
8658373	Nematherium birdi
9531769	Delphinus brocchi
4971229	Tursiops osennae
2433134	Balantiopteryx infusca
4968696	Catopsalis foliatus
8669265	Cyclopidius incisivus
2432789	Epomophorus minimus
4968846	Pediolophodon fricki
4973788	Thisbemys uintensis
9153160	Callithrix pencillata jordani
8920134	Callithrix pencillata pencillata
7766582	Asellia stoliczkana
9402808	Hyopotamus americanus
4265714	Epomophorus crypturus
9772117	Delphinus delannoy
4971304	Xenorophus sloanii
9171168	Ancodus rostratus
4351544	Delphinus salam
8618115	Domningia sodhae
2440647	Delphinus capensis
8701999	Selenacodon fragilis
9003068	Cimexomys judithi
4970820	Bothriodon sandaensis
4265716	Epomophorus minor
9589156	Delphinus occiduus
9292691	Bothriodon velaunus
9551218	Polydolops mayoi
8505747	Amphicetus longirostris
9139772	Centurio flavogularis
8772367	Oryzomys palustris aquaticus
6163533	Oryzomys palustris natator
6163537	Oryzomys natator floridanus
2438101	Mus palustris
6163532	Oryzomys palustris sanibeli
7194071	Oryzomys palustris palustris
8916050	Oryzomys palustris mexicanus
6163535	Oryzomys palustris texensis
8763233	Oryzomys palustris argentatus
8934129	Oryzomys palustris couesi
2438104	Oryzomys argentatus
6163534	Oryzomys palustris planirostris
6163536	Oryzomys palustris coloratus
8674960	Tembotherium holmbergi
9634750	Venjukovia prima
8624643	Triacodon nanus
8655571	Paeneprolimnocyon amissadomus
8451175	Oodectes proximus
9201771	Reithrodontomys tenuirostris aureus
4971227	Delphinus domeykoi
5846985	Tursiops australis
8544712	Oxyaenodon wortmani
4968623	Cimexomys antiquus
9624993	Steno gastaldii
4351530	Delphinus eurynome
4941124	Astadelphis gastaldi
8445774	Cyclopidius schucherti
4971228	Tursiops capellinii
8567785	Cyclopidius loganensis
9492716	Parabunodon anatolicum
4351547	Delphinus feres
4968620	Cimexomys gregoryi
4971110	Africanacetus ceratopsis
8570531	Oreodon macrorhinus
8500152	Merycoidodon periculorum
8659927	Paramerycoidodon georgei
8620444	Oreodon priscus
8493334	Prodesmatochoerus meekae
4835281	Oreodon culbertsonii
8577791	Merycoidodon lewisi
8529330	Oreodon robustum
8454855	Otionohyus vanderpooli
8705132	Otionohyus wardi
9304151	Namatomys fantasma
9189490	Xerospermophilus spilosoma marginatus
8940543	Xerospermophilus spilosoma cryptospilotus
9072137	Xerospermophilus spilosoma cabrerai
8742453	Xerospermophilus spilosoma bavicorensis
9168611	Xerospermophilus spilosoma pratensis
8795607	Xerospermophilus spilosoma annectens
8921135	Xerospermophilus spilosoma oricolus
9013357	Xerospermophilus spilosoma altiplanensis
8777161	Xerospermophilus spilosoma ammophilus
2437300	Spermophilus spilosoma
9129183	Xerospermophilus spilosoma canescens
9033545	Xerospermophilus spilosoma obsoletus
8865044	Xerospermophilus spilosoma spilosoma
4971357	Diacodexis indicus
8666630	Longirostromeryx blicki
8535348	Longirostromeryx serpentis
4970786	Longirostromeryx wellsi
8534340	Longirostromeryx merriami
8524393	Felis bituminosa
6164590	Puma concolor couguar
8836300	Puma concolor discolor
6164622	Puma concolor puma
8677729	Felis daggetti
2435104	Felis concolor
8545519	Felis hawveri
6164624	Puma concolor costaricensis
6164623	Puma concolor cabrerae
7193927	Puma concolor concolor
8327942	Lagenodelphis obliquidens
4971218	Globicephala etruriae
8457454	Halodon sculptus
4968621	Cimexomys arapahoensis
4968622	Cimexomys hausoi
8953289	Halodon formosus
9061648	Cimexomys magnus
8569202	Scelidotheriops avunculus
9157799	Catopsalis nobilis
8618137	Yuesthonyx tingae
8004939	Lagenodelphis australis
4831397	Cimexomys minor
9259865	Squalodon antverpiense
9568206	Squalodon antwerpiense
9510885	Squalodon antwerpiensis
4971042	Squalodon antverpiensis papillatus
4971041	Squalodon antverpiensis antverpiensis
4971135	Idiorophus bolzanensis
7193878	Atelocynus microtis microtis
6164366	Atelocynus microtis sclateri
5219233	Canis microtis
9547385	Asianeomys bolligeri
8324617	Delphinus delphis
4971231	Tursiops oligodon
8591165	Eudelphinus compressus
9472604	Ticholeptus bannackensis
8539195	Lymodon perfectus
8456543	Tsamnichoria cabrerai
2432786	Epomophorus angolensis
2440493	Lagenodelphis hosei
9527785	Polydolops abanicoi
8453542	Nematherium sinuatum
8564628	Amphicetus sprangii
2437608	Sphiggurus pallidus
4969241	Pliohippus fossulatus
9318078	Merychippus fossulatus
9630765	Dinohippus fossulatus
9352134	Uintatherium lacustre
8650366	Tinoceras grande
9370185	Mastodon anceps
9609915	Tinoceras lacustre
9515827	Tinoceras anceps
4973981	Uintatherium anceps
8550212	Uintatherium princeps
8457206	Dinoceras lacustre
8682821	Loxalophodon furcatus
8559983	Perimys procerus
8638990	Sphodromys scalaris
8640952	Perimys reflexus
8558130	Perimys diminutus
8512045	Perimys angulatus
8438639	Perimys scalaris
9424603	Prodesmatochoerus macrorhinus
9498356	Merycoidodon macrorhinus
2432787	Epomophorus wahlbergi
4970958	Plesiocetus verus
9590846	Eobasileus furcatus
9298582	Uintatherium furcatus
9639325	Delphinus pernettyi
2440596	Globicephala melas
2432788	Epomophorus grandis
9277210	Steno coronatus
2432791	Epomophorus labiatus
9619868	Prodesmatochoerus periculorum
9460355	Genetochoerus periculorum
8583944	Globicephala baereckeii
6164589	Puma concolor anthonyi
2440605	Globicephala macrorhynchus
2440455	Tursiops aduncus
4267058	Trachypithecus vetulus monticola
5218753	Chrotopterus auritus
9342785	Prodesmatochoerus lewisi
2440447	Tursiops truncatus
2434457	Dusicyon microtis
4834443	Octodontotherium
4894804	Octodontobradys
5722730	Tursio guianensis
7699509	Steno guianensis
2440543	Delphinus guianensis
4351475	Steno guianensis
4351704	Sotalia braziliensis
2440545	Sotalia brasiliensis
4834445	Orophodon
8634449	Blastomeryx tantillus
9556793	Parablastomeryx marsa
8698262	Pseudoblastomeryx schultzi
9249165	Parablastomeryx schultzi
9510531	Parablastomeryx falkenbachi
8512132	Shoshonius laurae
9557714	Blastomeryx scotti
8619649	Aletomeryx lugni
8593519	Mirandabradys socorrensis
3240192	Gladiator
4287988	Sagmatius
4287987	Ophysia
4832415	Lagenorhyncus
7585609	Grampus
2440528	Electra
2440430	Sagmatias
2440533	Orca
4832412	Sagatias
4287989	Leucopleurus
4832424	Ophesia
4832414	Logenorhynchus
9778883	Meniscoessus caperatus
9649934	Meniscoessus brevis
4831391	Lambdopsalis bulla
9248947	Protoziphius
9556552	Chonoziphius
4835893	Sphoenodon
4826609	Spenodor
3239370	Stenodon
4834437	Stenodontherium
4834438	Spenodon
4830148	Clamyphorus
3239840	Chlamydophorus
4830146	Chlamydiphorus
4830147	Chlamiphorus
3239841	Chlamydephorus
3239710	Notopterus
4832075	Myropteryx
4832088	Rhynchoniscus
4971225	Australodelphis mirus
8683914	Phocaenopsis scheynensis
5936312	Prolaena parva
9432690	Cimolomys major
4974171	Oxyaenoides bicuspidens
8417685	Lemur fulvus
7391599	Lemur mayottensis
9717302	Lemur bruneus
5786412	Eulemur fulvus fulvus
5786415	Eulemur fulvus rufus
5786408	Eulemur fulvus collaris
6163905	Melogale personata laotum
7193954	Melogale personata personata
6163904	Melogale personata tonquinia
6163903	Melogale personata nipalensis
4834442	Proplatyarthrus
8913783	Mystacina tuberculata robusta
4834441	Octomylodon
4826213	Halmaturus jardinii
8169407	Dasymys helukus
7576513	Dasymys savannus
8811389	Dasymys incomtus incomtus
8744542	Dasymys incomtus fuscus
9227087	Dasymys helukus nigridius
7612127	Dasymys gueinzii
7841973	Dasymys orthos
8734807	Dasymys incomtus foxi
8829351	Dasymys incomtus alleni
9213111	Dasymys incomtus edsoni
8410936	Dasymys medius
9131577	Dasymys incomtus capensis
8468298	Arctomys dacota
9057338	Semnopithecus argentatus
8990133	Pithecus pileatus saturatus
8791592	Pithecus durga
6164211	Canis familiarus domesticus
5219200	Canis familiaris
8891463	Vampyrus cirrhosus
8823877	Sciurotamias davidianus owstoni
8983340	Sciurotamias davidianus latro
8757924	Procavia johnstoni
8832212	Galago hindei
8469100	Mirandabradys zabasi
9126648	Brachyodus mogharensis
9589406	Aphanocyon amaurus
8608686	Choneziphius leidyi
4970802	Libycosaurus petrocchii
5936177	Lagenorhynchus harmatuki
2432985	Notopteris macdonaldi
4968612	Meniscoessus collomensis
4971082	Choneziphius liops
8515422	Promerycochoerus hatcheri
9414755	Orca meyeri
8732198	Macroglossus nanus
8819177	Brachyphylla minor
8990569	Eptesicus hispaniolae
8802878	Rhinoceros niger
8717357	Rhinoceros keitloa
9137175	Atelodus bicornis porrhoceros
8857634	Rhinoceros africanus
5847026	Rhinoceros bicornis
9100833	Rhinoceros gordoni
9100555	Atelodus bicornis platyceros
8891772	Diceros bicornis atbarensis
9197710	Atelodus bicornis plesioceros
9160465	Rhinoceros brucii
8913599	Rhinoceros bicornis somaliensis
8948429	Rhinoceros camperi
7458778	Bos arnee
6164083	Herpestes ichneumon cafra
8556732	Herpestes thysanurus
6164081	Herpestes ichneumon sabiensis
6164075	Herpestes ichneumon parvidens
8939775	Herpestes ichneumon mesos
