taxon_key	scientific_name	genus	specific_epithet	taxon_rank
731	Artiodactyla			ORDER
5298	Cervidae			FAMILY
5299	Giraffidae			FAMILY
5300	Hippopotamidae			FAMILY
5301	Moschidae			FAMILY
5302	Suidae			FAMILY
5303	Tayassuidae			FAMILY
5715	Antilocapridae			FAMILY
5716	Camelidae			FAMILY
9614	Bovidae			FAMILY
9672	Tragulidae			FAMILY
2440900	Antilope Pallas, 1766	Antilope		GENUS
2440901	Antilocapra Ord, 1818	Antilocapra		GENUS
2440902	Antilocapra americana (Ord, 1815)	Antilocapra	americana	SPECIES
2440910	Pudu Gray, 1850	Pudu		GENUS
2440911	Pudu puda (Molina, 1782)	Pudu	puda	SPECIES
2440912	Pudu mephistophiles (de Winton, 1896)	Pudu	mephistophiles	SPECIES
2440913	Rangifer Smith, 1827	Rangifer		GENUS
2440920	Mazama Rafinesque, 1817	Mazama		GENUS
2440927	Capreolus Gray, 1821	Capreolus		GENUS
2440930	Hydropotes Swinhoe, 1870	Hydropotes		GENUS
2440931	Hydropotes inermis Swinhoe, 1870	Hydropotes	inermis	SPECIES
2440932	Axis C.H.Smith, 1827	Axis		GENUS
2440934	Axis axis (Erxleben, 1777)	Axis	axis	SPECIES
2440937	Elaphurus Milne-Edwards, 1866	Elaphurus		GENUS
2440938	Elaphurus davidianus Milne-Edwards, 1866	Elaphurus	davidianus	SPECIES
2440940	Alces alces (Linnaeus, 1758)	Alces	alces	SPECIES
2440941	Muntiacus Rafinesque, 1815	Muntiacus		GENUS
2440942	Muntiacus atherodes Groves & Grubb, 1982	Muntiacus	atherodes	SPECIES
2440943	Muntiacus muntjak (Zimmermann, 1780)	Muntiacus	muntjak	SPECIES
2440944	Muntiacus feae (Thomas & Doria, 1889)	Muntiacus	feae	SPECIES
2440945	Muntiacus crinifrons (Sclater, 1885)	Muntiacus	crinifrons	SPECIES
2440946	Muntiacus reevesi (Ogilby, 1839)	Muntiacus	reevesi	SPECIES
